frequency - Sound Pressure_29 (FFT - (RMS))	Amplitude - Sound Pressure_29 (FFT - (RMS))	frequency - Acceleration (FFT - (RMS))	Amplitude - Acceleration (FFT - (RMS))
10.24	-58.2117	10.24	-80.4382
10.752	-61.2465	10.752	-74.4123
11.264	-67.093	11.264	-75.4877
11.776	-57.5024	11.776	-78.7207
12.288	-60.1567	12.288	-72.7014
12.8	-57.6982	12.8	-80.908
13.312	-57.3076	13.312	-74.8473
13.824	-57.4715	13.824	-54.2134
14.336	-56.423	14.336	-53.9293
14.848	-61.7086	14.848	-62.7833
15.36	-57.9846	15.36	-68.3282
15.872	-79.7391	15.872	-71.9812
16.384	-60.614	16.384	-71.4505
16.896	-49.6252	16.896	-68.8839
17.408	-41.502	17.408	-60.4437
17.92	-44.0438	17.92	-62.2642
18.432	-56.7065	18.432	-70.8016
18.944	-61.1454	18.944	-73.7181
19.456	-68.8846	19.456	-76.0658
19.968	-62.4118	19.968	-74.0485
20.48	-75.3	20.48	-80.5283
20.992	-54.8506	20.992	-75.9051
21.504	-52.3352	21.504	-71.0679
22.016	-59.4003	22.016	-72.1859
22.528	-73.5604	22.528	-78.4394
23.04	-57.6982	23.04	-84.4436
23.552	-50.1187	23.552	-81.4281
24.064	-50.4666	24.064	-92.6034
24.576	-53.8038	24.576	-75.8659
25.088	-56.185	25.088	-69.4522
25.6	-71.5757	25.6	-72.8516
26.112	-58.8585	26.112	-66.7813
26.624	-55.9171	26.624	-65.7991
27.136	-57.0125	27.136	-74.4975
27.648	-61.7451	27.648	-83.3898
28.16	-58.5087	28.16	-90.9358
28.672	-58.035	28.672	-86.0154
29.184	-56.2039	29.184	-78.2979
29.696	-55.2749	29.696	-81.3817
30.208	-67.9491	30.208	-86.8801
30.72	-58.9002	30.72	-91.305
31.232	-69.2855	31.232	-88.7775
31.744	-86.5169	31.744	-81.2535
32.256	-68.5602	32.256	-82.5301
32.768	-72.6006	32.768	-100.724
33.28	-68.7812	33.28	-96.4767
33.792	-76.9177	33.792	-74.9532
34.304	-79.0014	34.304	-71.9581
34.816	-64.5709	34.816	-71.1358
35.328	-65.9564	35.328	-67.5082
35.84	-80.7439	35.84	-70.798
36.352	-78.1295	36.352	-76.8013
36.864	-73.226	36.864	-83.1088
37.376	-75.3686	37.376	-94.8638
37.888	-81.5132	37.888	-82.8145
38.4	-78.6434	38.4	-89.8561
38.912	-67.3366	38.912	-79.3735
39.424	-69.4101	39.424	-81.3199
39.936	-74.6779	39.936	-85.4331
40.448	-69.8685	40.448	-88.9533
40.96	-67.9564	40.96	-77.5771
41.472	-69.9697	41.472	-77.2739
41.984	-58.2805	41.984	-73.8864
42.496	-62.8529	42.496	-77.0396
43.008	-68.997	43.008	-75.3938
43.52	-74.2585	43.52	-77.9543
44.032	-76.1754	44.032	-79.638
44.544	-75.4541	44.544	-82.3041
45.056001	-73.9905	45.056001	-99.4202
45.568001	-70.4227	45.568001	-86.5421
46.080001	-69.0567	46.080001	-84.419
46.592001	-74.868	46.592001	-102.501
47.104001	-79.1717	47.104001	-94.3641
47.616001	-72.2893	47.616001	-95.2441
48.128001	-69.1523	48.128001	-86.1088
48.640001	-72.0362	48.640001	-85.4557
49.152001	-85.1014	49.152001	-91.1206
49.664001	-78.082	49.664001	-94.0543
50.176001	-75.5799	50.176001	-100.431
50.688001	-86.6463	50.688001	-88.5725
51.200001	-78.9286	51.200001	-88.2455
51.712001	-79.044	51.712001	-98.0643
52.224001	-75.7305	52.224001	-89.5462
52.736001	-73.3677	52.736001	-84.113
53.248001	-77.4431	53.248001	-85.6608
53.760001	-70.2845	53.760001	-93.8727
54.272001	-61.8167	54.272001	-79.8466
54.784001	-62.3633	54.784001	-78.5208
55.296001	-75.5138	55.296001	-109.156
55.808001	-83.1043	55.808001	-81.5484
56.320001	-91.872	56.320001	-82.2412
56.832001	-86.9481	56.832001	-85.8729
57.344001	-94.861	57.344001	-88.9847
57.856001	-78.068	57.856001	-103.677
58.368001	-73.3535	58.368001	-93.9371
58.880001	-75.0759	58.880001	-85.9437
59.392001	-74.2556	59.392001	-86.6472
59.904001	-77.521	59.904001	-101.648
60.416001	-89.6316	60.416001	-86.1113
60.928001	-79.5815	60.928001	-85.004
61.440001	-77.7671	61.440001	-90.6784
61.952001	-78.339	61.952001	-92.9563
62.464001	-71.3591	62.464001	-92.1341
62.976001	-75.5543	62.976001	-98.4936
63.488001	-86.1281	63.488001	-95.9681
64.000001	-73.0978	64.000001	-95.2283
64.512001	-75.3098	64.512001	-90.6604
65.024001	-86.2375	65.024001	-91.9781
65.536001	-84.8061	65.536001	-97.5156
66.048001	-96.2167	66.048001	-95.9011
66.560001	-83.8171	66.560001	-99.6293
67.072001	-81.8065	67.072001	-98.2828
67.584001	-84.4905	67.584001	-93.5885
68.096001	-86.3982	68.096001	-96.5951
68.608001	-81.5154	68.608001	-94.7379
69.120001	-78.2752	69.120001	-99.7874
69.632001	-81.5986	69.632001	-93.8795
70.144001	-89.189	70.144001	-94.1693
70.656001	-84.3456	70.656001	-83.02
71.168001	-79.5649	71.168001	-82.3203
71.680001	-80.5612	71.680001	-82.2452
72.192001	-91.1473	72.192001	-82.1863
72.704001	-89.113	72.704001	-87.208
73.216001	-84.302	73.216001	-88.8258
73.728001	-85.0178	73.728001	-82.0538
74.240001	-84.1307	74.240001	-78.7451
74.752001	-86.0456	74.752001	-81.5107
75.264001	-87.4356	75.264001	-84.1779
75.776001	-84.9367	75.776001	-95.8797
76.288001	-81.5775	76.288001	-85.1607
76.800001	-85.3369	76.800001	-88.4015
77.312001	-85.9832	77.312001	-87.7798
77.824001	-87.5257	77.824001	-81.8633
78.336001	-90.7529	78.336001	-87.8056
78.848001	-89.871	78.848001	-80.0709
79.360001	-93.4848	79.360001	-81.1201
79.872001	-91.1274	79.872001	-82.3777
80.384001	-86.3522	80.384001	-82.867
80.896001	-85.4414	80.896001	-81.0305
81.408001	-88.147	81.408001	-76.4128
81.920001	-88.0558	81.920001	-82.4429
82.432001	-80.5155	82.432001	-80.1312
82.944001	-85.3204	82.944001	-70.3056
83.456001	-81.808	83.456001	-64.0403
83.968001	-83.1616	83.968001	-66.5854
84.480001	-105.019	84.480001	-59.8677
84.992001	-86.8814	84.992001	-68.0584
85.504001	-92.7998	85.504001	-70.0924
86.016001	-87.809	86.016001	-72.9298
86.528001	-84.1171	86.528001	-72.9162
87.040001	-82.5862	87.040001	-71.5372
87.552001	-87.87	87.552001	-75.5096
88.064001	-84.3798	88.064001	-65.8722
88.576001	-80.2941	88.576001	-79.9204
89.088001	-81.3215	89.088001	-64.119
89.600001	-94.0986	89.600001	-75.3512
90.112001	-100.406	90.112001	-64.5073
90.624001	-90.4	90.624001	-74.3235
91.136001	-101.603	91.136001	-67.6552
91.648001	-90.7739	91.648001	-71.1758
92.160001	-87.7366	92.160001	-72.164
92.672001	-87.3808	92.672001	-72.4618
93.184001	-96.0154	93.184001	-72.0701
93.696001	-84.0908	93.696001	-83.3428
94.208001	-85.1587	94.208001	-75.8701
94.720001	-110.484	94.720001	-83.2501
95.232001	-88.6831	95.232001	-99.4348
95.744001	-94.7851	95.744001	-76.913
96.256001	-90.4601	96.256001	-88.1327
96.768001	-87.32	96.768001	-79.1984
97.280001	-86.2733	97.280001	-83.3589
97.792001	-84.8969	97.792001	-81.8451
98.304001	-88.1844	98.304001	-88.0351
98.816001	-88.419	98.816001	-97.1079
99.328001	-82.4279	99.328001	-92.2104
99.840001	-80.6386	99.840001	-82.1365
100.352001	-89.5867	100.352001	-84.9148
100.864001	-89.2984	100.864001	-91.3756
101.376001	-87.6364	101.376001	-86.7843
101.888001	-85.9439	101.888001	-86.4971
102.400001	-88.5956	102.400001	-85.1047
102.912001	-89.194	102.912001	-93.9803
103.424001	-93.4439	103.424001	-92.9995
103.936001	-99.0103	103.936001	-84.2887
104.448001	-94.3394	104.448001	-79.7096
104.960001	-89.4596	104.960001	-82.3121
105.472001	-89.4502	105.472001	-96.6638
105.984001	-99.0301	105.984001	-90.3327
106.496001	-90.1544	106.496001	-87.7954
107.008001	-95.0621	107.008001	-90.239
107.520001	-85.0493	107.520001	-83.9631
108.032001	-90.6127	108.032001	-83.1475
108.544001	-93.4191	108.544001	-86.2173
109.056001	-88.7731	109.056001	-92.3328
109.568001	-91.5975	109.568001	-85.0316
110.080001	-95.3776	110.080001	-84.7906
110.592001	-96.6962	110.592001	-106.756
111.104001	-93.2757	111.104001	-90.4473
111.616001	-98.1626	111.616001	-90.2634
112.128001	-103.484	112.128001	-95.1285
112.640001	-95.2024	112.640001	-86.8705
113.152001	-88.6134	113.152001	-84.4399
113.664001	-91.654	113.664001	-90.1733
114.176001	-98.7708	114.176001	-93.1269
114.688001	-97.335	114.688001	-84.594
115.200001	-94.1622	115.200001	-88.523
115.712001	-114.27	115.712001	-86.366
116.224001	-97.2112	116.224001	-84.9688
116.736001	-94.8787	116.736001	-88.9937
117.248001	-94.3729	117.248001	-90.9426
117.760001	-101.33	117.760001	-96.3622
118.272001	-106.332	118.272001	-91.2506
118.784001	-104.358	118.784001	-89.6156
119.296001	-102.561	119.296001	-91.3641
119.808001	-99.5131	119.808001	-96.8857
120.320001	-100.669	120.320001	-104.902
120.832001	-92.1169	120.832001	-89.0789
121.344001	-95.7065	121.344001	-89.4535
121.856001	-99.3899	121.856001	-92.7215
122.368001	-96.5327	122.368001	-93.878
122.880001	-100.263	122.880001	-105.457
123.392001	-93.0558	123.392001	-90.5167
123.904001	-92.0847	123.904001	-86.1045
124.416001	-96.7281	124.416001	-87.3029
124.928001	-94.8949	124.928001	-95.7086
125.440001	-88.6355	125.440001	-87.5879
125.952001	-88.0738	125.952001	-98.0336
126.464001	-90.0964	126.464001	-93.4318
126.976001	-92.8652	126.976001	-90.3152
127.488001	-95.0204	127.488001	-89.0207
128.000001	-96.6109	128.000001	-94.6842
128.512001	-94.2053	128.512001	-104.266
129.024001	-96.13	129.024001	-100.811
129.536001	-89.5907	129.536001	-99.69
130.048001	-85.973	130.048001	-94.4622
130.560001	-89.2311	130.560001	-92.031
131.072001	-92.1585	131.072001	-99.3889
131.584001	-94.773	131.584001	-105.708
132.096001	-96.1871	132.096001	-102.61
132.608001	-97.1262	132.608001	-109.203
133.120001	-94.457	133.120001	-94.6968
133.632001	-86.2024	133.632001	-89.9786
134.144001	-85.3241	134.144001	-89.8998
134.656001	-86.9673	134.656001	-94.4972
135.168002	-86.407	135.168002	-93.5373
135.680002	-93.3691	135.680002	-88.991
136.192002	-93.6228	136.192002	-90.88
136.704002	-88.1417	136.704002	-101.499
137.216002	-88.4949	137.216002	-95.679
137.728002	-94.7657	137.728002	-97.8549
138.240002	-97.7204	138.240002	-99.8038
138.752002	-89.5932	138.752002	-89.0779
139.264002	-90.6742	139.264002	-90.6725
139.776002	-89.3929	139.776002	-93.0732
140.288002	-89.2015	140.288002	-91.2582
140.800002	-94.7779	140.800002	-98.9703
141.312002	-101.871	141.312002	-88.3686
141.824002	-106.17	141.824002	-90.9243
142.336002	-100.914	142.336002	-84.4299
142.848002	-92.707	142.848002	-85.0844
143.360002	-91.9633	143.360002	-87.2766
143.872002	-101.019	143.872002	-89.422
144.384002	-101.145	144.384002	-91.1422
144.896002	-96.0113	144.896002	-95.336
145.408002	-94.9442	145.408002	-111.705
145.920002	-105.15	145.920002	-101.224
146.432002	-96.9442	146.432002	-98.3719
146.944002	-95.5095	146.944002	-88.8004
147.456002	-90.8551	147.456002	-85.0661
147.968002	-91.8038	147.968002	-93.4479
148.480002	-90.4178	148.480002	-96.6561
148.992002	-94.5556	148.992002	-92.1753
149.504002	-98.658	149.504002	-87.8034
150.016002	-99.8048	150.016002	-91.4255
150.528002	-96.3377	150.528002	-99.6711
151.040002	-91.0918	151.040002	-90.7201
151.552002	-91.1898	151.552002	-91.9628
152.064002	-94.3326	152.064002	-98.7887
152.576002	-91.5214	152.576002	-91.2642
153.088002	-90.9163	153.088002	-96.0891
153.600002	-99.5744	153.600002	-97.7229
154.112002	-97.6998	154.112002	-89.9935
154.624002	-97.1294	154.624002	-95.2381
155.136002	-97.2644	155.136002	-107.31
155.648002	-98.0441	155.648002	-99.5339
156.160002	-104.389	156.160002	-97.5905
156.672002	-98.5986	156.672002	-94.5456
157.184002	-94.6529	157.184002	-88.4079
157.696002	-99.7417	157.696002	-88.7905
