frequency - Sound Pressure_29	Amplitude - Sound Pressure_29	frequency - Acceleration	Amplitude - Acceleration
0	0.0861259	0	-0.00115844
1.95E-05	0.0894852	1.95E-05	-0.0011535
3.91E-05	0.0891182	3.91E-05	-0.00113744
5.86E-05	0.0851379	5.86E-05	-0.00111521
7.81E-05	0.0886948	7.81E-05	-0.00111645
9.77E-05	0.0890053	9.77E-05	-0.000994182
0.000117	0.0873962	0.000117	-0.000978127
0.000137	0.0866623	0.000137	-0.00106087
0.000156	0.0896545	0.000156	-0.000896616
0.000176	0.0880173	0.000176	-0.000954661
0.000195	0.0872551	0.000195	-0.000880561
0.000215	0.0880173	0.000215	-0.00079164
0.000234	0.0892311	0.000234	-0.000841041
0.000254	0.0901627	0.000254	-0.00068543
0.000273	0.089711	0.000273	-0.000664434
0.000293	0.0880737	0.000293	-0.000618739
0.000312	0.091066	0.000312	-0.000569339
0.000332	0.0888359	0.000332	-0.000511293
0.000352	0.0899086	0.000352	-0.000439663
0.000371	0.0895134	0.000371	-0.000503883
0.000391	0.0897392	0.000391	-0.000524879
0.00041	0.0855049	0.00041	-0.000402613
0.00043	0.09132	0.00043	-0.000550814
0.000449	0.0887512	0.000449	-0.000474243
0.000469	0.086747	0.000469	-0.000392733
0.000488	0.0896828	0.000488	-0.000286522
0.000508	0.0875374	0.000508	-0.000406318
0.000527	0.0896263	0.000527	-0.000269232
0.000547	0.0856461	0.000547	-0.000174136
0.000566	0.0890335	0.000566	-0.000326042
0.000586	0.0889488	0.000586	-9.51E-05
0.000605	0.0897392	0.000605	-0.000205011
0.000625	0.0902191	0.000625	-0.000260587
0.000645	0.0894852	0.000645	-0.000190191
0.000664	0.0898239	0.000664	-0.000196366
0.000684	0.0896828	0.000684	-0.000242062
0.000703	0.0866058	0.000703	-4.94E-05
0.000723	0.0882996	0.000723	-0.000258117
0.000742	0.0877632	0.000742	-0.000260587
0.000762	0.0899368	0.000762	-0.000111151
0.000781	0.0867752	0.000781	-0.000234652
0.000801	0.0872269	0.000801	-0.000272937
0.00082	0.0895416	0.00082	-0.000256882
0.00084	0.0878479	0.00084	-0.000232182
0.000859	0.0884125	0.000859	-0.000247002
0.000879	0.0876503	0.000879	-0.000428548
0.000898	0.0870575	0.000898	-0.000470538
0.000918	0.0899933	0.000918	-0.000491533
0.000937	0.0870857	0.000937	-0.000395203
0.000957	0.0869446	0.000957	-0.000539699
0.000977	0.0867752	0.000977	-0.000477948
0.000996	0.0891182	0.000996	-0.000539699
0.001016	0.0885818	0.001016	-0.000540934
0.001035	0.0887794	0.001035	-0.000559459
0.001055	0.0884407	0.001055	-0.000731125
0.001074	0.087735	0.001074	-0.000622444
0.001094	0.0864929	0.001094	-0.000605154
0.001113	0.0873398	0.001113	-0.000552049
0.001133	0.0870857	0.001133	-0.000506353
0.001152	0.0870857	0.001152	-0.000652084
0.001172	0.0902191	0.001172	-0.000502648
0.001191	0.0896263	0.001191	-0.000486593
0.001211	0.087989	0.001211	-0.000410023
0.00123	0.0874527	0.00123	-0.000298872
0.00125	0.0882431	0.00125	-0.000295167
0.00127	0.0899086	0.00127	-0.000223536
0.001289	0.0860413	0.001289	-0.000385323
0.001309	0.0870857	0.001309	-0.000313692
0.001328	0.0867187	0.001328	-0.000172901
0.001348	0.0880455	0.001348	-0.000211186
0.001367	0.0880173	0.001367	-3.95E-05
0.001387	0.086747	0.001387	-0.000103741
0.001406	0.0855896	0.001406	1.11E-05
0.001426	0.0861824	0.001426	-2.84E-05
0.001445	0.087735	0.001445	0.000127206
0.001465	0.0860977	0.001465	0.000138321
0.001484	0.0890617	0.001484	0.000364327
0.001504	0.0874245	0.001504	0.000198836
0.001523	0.0844322	0.001523	0.000258117
0.001543	0.0880173	0.001543	0.000381618
0.001562	0.0884972	0.001562	0.000386558
0.001582	0.0886948	0.001582	0.000334687
0.001602	0.0875938	0.001602	0.000490298
0.001621	0.088356	0.001621	0.000487828
0.001641	0.0875092	0.001641	0.000465598
0.00166	0.087001	0.00166	0.000516233
0.00168	0.0876785	0.00168	0.000657024
0.001699	0.089344	0.001699	0.00070766
0.001719	0.0858719	0.001719	0.00071754
0.001738	0.0855049	0.001738	0.00073977
0.001758	0.0882713	0.001758	0.00070025
0.001777	0.0871422	0.001777	0.00074471
0.001797	0.0871704	0.001797	0.000669374
