frequency - Sound Pressure_29	Amplitude - Sound Pressure_29	frequency - Acceleration	Amplitude - Acceleration
0	0.590038	0	-0.00601943
1.95E-05	0.589953	1.95E-05	-0.0060219
3.91E-05	0.589953	3.91E-05	-0.00607007
5.86E-05	0.586678	5.86E-05	-0.00601943
7.81E-05	0.58171	7.81E-05	-0.00582924
9.77E-05	0.577504	9.77E-05	-0.00585888
0.000117	0.573016	0.000117	-0.00578725
0.000137	0.56466	0.000137	-0.00569586
0.000156	0.559494	0.000156	-0.0057996
0.000176	0.553312	0.000176	-0.0056514
0.000195	0.542924	0.000195	-0.00550073
0.000215	0.537363	0.000215	-0.00544392
0.000234	0.526862	0.000234	-0.00538958
0.000254	0.519014	0.000254	-0.00526361
0.000273	0.508146	0.000273	-0.00523149
0.000293	0.496854	0.000293	-0.0052599
0.000312	0.484603	0.000312	-0.00512775
0.000332	0.474243	0.000332	-0.00506353
0.000352	0.462472	0.000352	-0.00500796
0.000371	0.44912	0.000371	-0.00480665
0.000391	0.43605	0.000391	-0.00476466
0.00041	0.419564	0.00041	-0.00457571
0.00043	0.408075	0.00043	-0.00446949
0.000449	0.393932	0.000449	-0.0043497
0.000469	0.378068	0.000469	-0.00422496
0.000488	0.364377	0.000488	-0.00411505
0.000508	0.349783	0.000508	-0.00403107
0.000527	0.331039	0.000527	-0.00407429
0.000547	0.314751	0.000547	-0.00383717
0.000566	0.296741	0.000566	-0.00391621
0.000586	0.280001	0.000586	-0.00378407
0.000605	0.263431	0.000605	-0.00353212
0.000625	0.246691	0.000625	-0.0033444
0.000645	0.228117	0.000645	-0.00324931
0.000664	0.209288	0.000664	-0.00326783
0.000684	0.189217	0.000684	-0.00310852
0.000703	0.173607	0.000703	-0.00287139
0.000723	0.153508	0.000723	-0.00278988
0.000742	0.133155	0.000742	-0.00273184
0.000762	0.115823	0.000762	-0.00264539
0.000781	0.0955261	0.000781	-0.00266268
0.000801	0.0740158	0.000801	-0.00238851
0.00082	0.0557236	0.00082	-0.00236628
0.00084	0.0388428	0.00084	-0.00230576
0.000859	0.0194496	0.000859	-0.00207852
0.000879	-0.000818634	0.000879	-0.00206123
0.000898	-0.0235428	0.000898	-0.00207852
0.000918	-0.0427666	0.000918	-0.0018414
0.000937	-0.0625267	0.000937	-0.00173766
0.000957	-0.0796898	0.000957	-0.00163392
0.000977	-0.103543	0.000977	-0.00158081
0.000996	-0.12144	0.000996	-0.0015203
0.001016	-0.140833	0.001016	-0.00138074
0.001035	-0.159267	0.001035	-0.00136962
