frequency - Sound Pressure_29	Amplitude - Sound Pressure_29	frequency - Acceleration	Amplitude - Acceleration
0	0.305943	0	0.00513887
1.95E-05	0.2883	1.95E-05	0.00522408
3.91E-05	0.274101	3.91E-05	0.00522532
5.86E-05	0.255216	5.86E-05	0.00525373
7.81E-05	0.239182	7.81E-05	0.00533524
9.77E-05	0.221003	9.77E-05	0.00515369
0.000117	0.203586	0.000117	0.00511417
0.000137	0.187298	0.000137	0.00501907
0.000156	0.169852	0.000156	0.00517345
0.000176	0.150883	0.000176	0.00509564
0.000195	0.131377	0.000195	0.00517468
0.000215	0.118871	0.000215	0.00485729
0.000234	0.0945946	0.000234	0.00494991
0.000254	0.0803108	0.000254	0.00483506
0.000273	0.0633453	0.000273	0.00497585
0.000293	0.0436134	0.000293	0.00502278
0.000312	0.0264221	0.000312	0.00495979
0.000332	0.0104729	0.000332	0.00509194
0.000352	-0.00925903	0.000352	0.00505736
0.000371	-0.0261963	0.000371	0.00500302
0.000391	-0.0400566	0.000391	0.00516974
0.00041	-0.0593369	0.00041	0.00504254
0.00043	-0.0747215	0.00043	0.00503142
0.000449	-0.0928162	0.000449	0.00518703
0.000469	-0.10789	0.000469	0.00502154
0.000488	-0.124969	0.000488	0.00510182
0.000508	-0.142866	0.000508	0.00507218
0.000527	-0.160368	0.000527	0.0051648
0.000547	-0.174256	0.000547	0.00512528
0.000566	-0.188992	0.000566	0.00513393
0.000586	-0.207679	0.000586	0.00534882
0.000605	-0.223713	0.000605	0.00509564
0.000625	-0.237093	0.000625	0.00534882
0.000645	-0.251405	0.000645	0.00520926
0.000664	-0.264673	0.000664	0.00544515
0.000684	-0.28017	0.000684	0.0053797
0.000703	-0.295866	0.000703	0.00547109
0.000723	-0.306197	0.000723	0.0056304
0.000742	-0.322655	0.000742	0.00543527
0.000762	-0.331293	0.000762	0.00558965
0.000781	-0.347157	0.000781	0.00569956
0.000801	-0.359183	0.000801	0.00561558
0.00082	-0.370615	0.00082	0.00583665
0.00084	-0.381342	0.00084	0.00573414
0.000859	-0.391166	0.000859	0.00588111
