Frequency - Plot 0	Amplitude - Plot 0
26	3.34E-06
27	2.91E-06
27	1.95E-06
28	7.44E-07
28	4.64E-06
29	2.63E-06
29	4.12E-06
30	6.15E-06
30	4.31E-06
31	4.03E-06
31	1.62E-06
32	2.51E-06
32	1.85E-06
33	2.60E-06
33	6.79E-07
34	8.02E-07
34	7.52E-07
35	7.62E-07
35	1.38E-06
36	8.86E-07
36	1.80E-06
37	7.21E-07
37	3.84E-07
38	1.00E-07
38	6.26E-07
39	1.15E-06
39	1.02E-06
40	1.07E-06
40	5.97E-07
41	5.82E-07
41	5.50E-07
42	7.39E-07
42	8.79E-07
43	1.07E-06
44	8.15E-07
44	6.29E-07
45	2.41E-07
45	2.58E-07
46	5.69E-07
46	9.70E-07
47	4.63E-07
47	6.24E-07
48	7.62E-07
48	5.25E-07
49	4.33E-07
49	3.57E-07
50	8.19E-07
50	4.45E-07
51	5.07E-07
51	7.27E-07
52	7.50E-07
52	7.07E-07
53	3.48E-07
53	1.50E-07
54	8.34E-07
54	1.76E-06
55	3.10E-06
55	8.05E-07
56	4.91E-07
56	6.62E-07
57	8.47E-07
57	5.51E-07
58	3.61E-07
58	2.65E-07
59	2.33E-07
59	1.12E-06
60	1.41E-07
60	2.77E-07
61	3.20E-07
61	2.10E-07
62	1.65E-07
62	2.69E-07
63	3.63E-07
63	4.63E-07
64	3.08E-07
65	3.58E-07
65	3.36E-07
66	4.11E-07
66	2.38E-07
67	3.04E-07
67	3.67E-07
68	2.68E-07
68	1.68E-07
69	2.15E-07
69	3.60E-07
70	2.77E-07
70	2.75E-07
71	1.27E-07
71	2.54E-07
72	2.99E-07
72	3.21E-07
73	1.03E-07
73	4.19E-07
74	2.49E-07
74	2.73E-07
75	2.10E-07
75	2.43E-07
76	2.38E-07
76	2.60E-07
77	2.55E-07
77	2.96E-07
78	3.15E-07
78	2.31E-07
79	3.11E-07
79	3.78E-07
80	1.36E-07
80	2.52E-07
81	2.54E-07
81	2.58E-07
82	2.94E-07
82	2.85E-07
83	1.00E-07
83	2.32E-07
84	1.73E-07
84	4.19E-07
85	5.87E-07
86	6.63E-07
86	7.35E-07
87	8.66E-07
87	7.71E-07
88	8.49E-07
88	7.78E-07
89	7.74E-07
89	9.00E-07
90	9.21E-07
90	1.04E-06
91	1.01E-06
91	1.13E-06
92	1.13E-06
92	1.13E-06
93	1.07E-06
93	1.17E-06
94	1.14E-06
94	1.13E-06
95	1.15E-06
95	1.10E-06
96	1.17E-06
96	1.16E-06
97	1.23E-06
97	1.15E-06
98	1.11E-06
98	1.04E-06
99	9.49E-07
99	7.41E-07
100	6.77E-07
100	5.53E-07
101	5.44E-07
101	5.14E-07
102	4.64E-07
102	4.15E-07
103	4.40E-07
103	3.90E-07
104	3.91E-07
104	3.40E-07
105	3.60E-07
105	3.62E-07
106	3.03E-07
106	2.67E-07
107	3.62E-07
108	3.58E-07
108	2.14E-07
109	2.31E-07
109	2.32E-07
110	2.51E-07
110	1.81E-07
111	2.52E-07
111	1.82E-07
112	2.29E-07
112	2.20E-07
113	2.36E-07
113	1.70E-07
114	1.95E-07
114	1.51E-07
115	1.65E-07
115	1.87E-07
116	1.61E-07
116	1.48E-07
117	1.16E-07
117	9.82E-08
118	8.62E-08
118	6.21E-08
119	4.10E-08
119	2.41E-08
120	1.26E-08
120	8.90E-09
121	2.18E-08
121	2.63E-08
122	6.01E-08
122	5.66E-08
123	5.68E-08
123	7.43E-08
124	8.69E-08
124	7.95E-08
125	9.51E-08
125	1.15E-07
126	1.29E-07
126	1.61E-07
127	1.59E-07
127	2.25E-07
128	2.13E-07
129	2.89E-07
129	3.02E-07
130	2.91E-07
130	3.30E-07
131	3.41E-07
131	3.68E-07
132	3.60E-07
132	4.42E-07
133	4.35E-07
133	3.96E-07
134	4.32E-07
134	3.87E-07
135	4.32E-07
135	4.13E-07
136	3.60E-07
136	3.75E-07
137	3.50E-07
137	3.16E-07
138	3.01E-07
138	2.84E-07
139	2.61E-07
139	2.80E-07
140	2.66E-07
140	2.65E-07
141	2.73E-07
141	2.39E-07
142	2.74E-07
142	2.56E-07
143	2.35E-07
143	2.27E-07
144	2.10E-07
144	1.96E-07
145	2.24E-07
145	1.67E-07
146	1.66E-07
146	2.10E-07
147	1.49E-07
147	2.00E-07
148	1.88E-07
148	9.63E-08
149	1.28E-07
150	1.49E-07
150	1.51E-07
151	1.31E-07
151	1.32E-07
152	1.11E-07
152	1.12E-07
153	1.08E-07
153	1.15E-07
154	1.06E-07
154	9.84E-08
155	1.03E-07
155	1.05E-07
156	8.51E-08
156	8.82E-08
157	1.03E-07
157	9.23E-08
158	8.98E-08
158	8.74E-08
159	7.97E-08
159	7.21E-08
160	8.86E-08
160	1.09E-07
161	9.95E-08
161	1.01E-07
162	1.12E-07
162	1.28E-07
163	1.39E-07
163	1.31E-07
164	1.30E-07
164	1.46E-07
165	1.85E-07
165	1.66E-07
166	1.72E-07
166	2.08E-07
167	1.92E-07
167	1.80E-07
168	2.23E-07
168	2.13E-07
169	2.36E-07
169	2.26E-07
170	2.30E-07
170	2.45E-07
171	2.36E-07
172	2.31E-07
172	2.55E-07
173	2.45E-07
173	2.19E-07
174	1.87E-07
174	1.74E-07
175	1.98E-07
175	2.02E-07
176	2.15E-07
176	2.17E-07
177	2.31E-07
177	2.37E-07
178	2.22E-07
178	2.36E-07
179	1.98E-07
179	2.06E-07
180	2.50E-07
180	2.24E-07
181	2.38E-07
181	2.34E-07
182	2.26E-07
182	2.65E-07
183	2.37E-07
183	2.62E-07
184	2.47E-07
184	2.46E-07
185	2.58E-07
185	2.24E-07
186	2.59E-07
186	2.36E-07
187	2.03E-07
187	2.57E-07
188	2.62E-07
188	2.53E-07
189	2.60E-07
189	2.93E-07
190	2.75E-07
190	2.50E-07
191	2.90E-07
191	2.69E-07
192	2.71E-07
193	2.72E-07
193	2.99E-07
194	2.81E-07
194	2.95E-07
195	3.10E-07
195	2.98E-07
196	3.20E-07
196	3.13E-07
197	3.19E-07
197	3.27E-07
198	3.54E-07
198	3.40E-07
199	3.44E-07
199	3.62E-07
200	3.41E-07
200	3.74E-07
201	3.93E-07
201	4.00E-07
202	4.15E-07
202	4.57E-07
203	4.60E-07
203	4.51E-07
204	4.59E-07
204	4.69E-07
205	4.58E-07
205	4.47E-07
206	4.85E-07
206	5.02E-07
207	4.84E-07
207	4.85E-07
208	4.66E-07
208	5.13E-07
209	4.73E-07
209	4.80E-07
210	4.36E-07
210	4.10E-07
211	3.95E-07
211	3.72E-07
212	3.53E-07
212	3.45E-07
213	2.99E-07
214	2.82E-07
214	2.63E-07
215	2.43E-07
215	2.00E-07
216	1.89E-07
216	1.62E-07
217	1.51E-07
217	1.37E-07
218	1.49E-07
218	1.41E-07
219	1.38E-07
219	1.55E-07
220	1.60E-07
220	1.76E-07
221	1.63E-07
221	1.83E-07
222	1.81E-07
222	1.84E-07
223	1.84E-07
223	1.78E-07
224	1.81E-07
224	1.83E-07
225	1.94E-07
225	1.96E-07
226	1.94E-07
226	1.90E-07
227	1.86E-07
227	1.86E-07
228	1.85E-07
228	1.84E-07
229	1.83E-07
229	1.84E-07
230	1.86E-07
230	2.01E-07
231	2.18E-07
231	2.16E-07
232	2.35E-07
232	2.45E-07
233	2.43E-07
233	2.70E-07
234	2.93E-07
234	2.97E-07
235	2.97E-07
236	3.23E-07
236	3.37E-07
237	3.46E-07
237	3.68E-07
238	3.59E-07
238	3.71E-07
239	4.47E-07
239	4.57E-07
240	4.67E-07
240	5.27E-07
241	4.95E-07
241	5.17E-07
242	5.17E-07
242	4.98E-07
243	5.21E-07
243	5.34E-07
244	5.25E-07
244	5.22E-07
245	4.82E-07
245	5.32E-07
246	5.33E-07
246	5.41E-07
247	6.24E-07
247	4.80E-07
248	5.38E-07
248	5.04E-07
249	5.74E-07
249	5.85E-07
250	6.24E-07
250	5.27E-07
251	6.42E-07
251	7.28E-07
252	6.43E-07
252	6.53E-07
253	7.00E-07
253	7.28E-07
254	6.96E-07
254	7.67E-07
255	6.48E-07
255	6.75E-07
256	6.34E-07
257	6.21E-07
257	5.36E-07
258	5.78E-07
258	5.07E-07
259	3.94E-07
259	3.27E-07
260	3.39E-07
260	2.96E-07
261	4.25E-07
261	3.44E-07
262	3.29E-07
262	5.51E-07
263	5.77E-07
263	5.27E-07
264	6.50E-07
264	7.82E-07
265	7.22E-07
265	7.40E-07
266	8.11E-07
266	7.71E-07
267	8.19E-07
267	8.06E-07
268	7.81E-07
268	7.42E-07
269	7.40E-07
269	7.11E-07
270	7.06E-07
270	7.47E-07
271	7.00E-07
271	7.23E-07
272	6.78E-07
272	6.91E-07
273	6.69E-07
273	7.08E-07
274	5.99E-07
274	6.21E-07
275	5.80E-07
275	5.62E-07
276	5.81E-07
276	4.96E-07
277	4.25E-07
278	4.51E-07
278	4.50E-07
279	4.25E-07
279	4.07E-07
280	3.86E-07
280	3.64E-07
281	3.88E-07
281	3.81E-07
282	3.20E-07
282	3.23E-07
283	3.30E-07
283	2.96E-07
284	3.13E-07
284	3.46E-07
285	2.70E-07
285	2.45E-07
286	2.81E-07
286	2.48E-07
287	2.37E-07
287	2.70E-07
288	2.50E-07
288	1.96E-07
289	1.91E-07
289	1.89E-07
290	1.93E-07
290	2.04E-07
291	1.87E-07
291	1.37E-07
292	1.69E-07
292	1.71E-07
293	1.87E-07
293	1.70E-07
294	1.87E-07
294	1.44E-07
295	1.40E-07
295	1.82E-07
