Frequency - Plot 0	Amplitude - Plot 0
10	1.09E-05
11	5.29E-06
11	2.84E-06
12	1.85E-06
12	4.35E-06
13	9.28E-06
13	2.93E-06
14	1.05E-05
14	1.17E-05
15	1.31E-05
15	6.11E-06
16	6.26E-06
16	6.28E-06
17	1.07E-05
17	1.75E-05
18	1.15E-05
18	7.34E-06
19	5.86E-06
19	5.38E-06
20	2.82E-06
20	2.94E-06
21	8.07E-06
22	8.18E-06
22	5.88E-06
23	9.79E-06
23	5.85E-06
24	4.66E-06
24	6.74E-06
25	1.42E-06
25	1.41E-06
26	2.18E-06
26	2.92E-06
27	4.39E-06
27	4.59E-06
28	3.10E-06
28	5.98E-06
29	2.93E-07
29	3.49E-06
30	1.45E-05
30	3.42E-06
31	3.77E-06
31	1.68E-07
32	2.01E-06
32	1.03E-06
33	1.19E-06
33	1.38E-06
34	6.04E-07
34	1.38E-06
35	9.91E-07
35	1.34E-06
36	2.20E-06
36	1.24E-06
37	1.75E-06
37	5.63E-07
38	6.42E-07
38	8.22E-07
39	7.39E-07
39	1.07E-06
40	6.39E-07
40	8.36E-07
41	4.99E-07
41	2.10E-07
42	1.49E-06
42	2.39E-07
43	5.94E-07
44	9.38E-08
44	1.08E-06
45	3.90E-07
45	2.71E-07
46	5.55E-07
46	1.27E-07
47	6.48E-07
47	6.03E-07
48	6.79E-07
48	9.79E-07
49	6.76E-07
49	9.80E-07
50	7.92E-07
50	2.47E-07
51	6.22E-07
51	1.97E-07
52	6.94E-07
52	2.49E-07
53	5.52E-07
53	4.78E-07
54	1.02E-06
54	2.25E-06
55	2.90E-06
55	1.08E-06
56	2.82E-07
56	3.07E-07
57	6.39E-07
57	1.38E-07
58	2.32E-07
58	1.66E-07
59	3.29E-07
59	1.89E-07
60	3.81E-07
60	1.99E-07
61	1.64E-07
61	2.97E-07
62	1.85E-07
62	3.16E-07
63	2.54E-07
63	4.04E-07
64	4.58E-07
65	3.73E-07
65	2.01E-07
66	2.86E-07
66	2.54E-07
67	1.63E-07
67	3.71E-07
68	1.84E-07
68	3.05E-07
69	1.13E-07
69	2.52E-07
70	1.17E-07
70	2.86E-07
71	2.21E-07
71	2.70E-07
72	3.27E-07
72	9.71E-08
73	9.13E-08
73	2.06E-07
74	2.23E-07
74	2.57E-07
75	7.00E-07
75	1.63E-07
76	4.10E-08
76	1.02E-07
77	1.13E-07
77	1.28E-07
78	2.22E-07
78	1.06E-07
79	1.28E-07
79	7.21E-08
80	1.34E-07
80	1.56E-07
81	7.85E-08
81	1.42E-07
82	1.96E-07
82	7.13E-08
83	1.67E-07
83	2.61E-07
84	2.35E-08
84	1.19E-07
85	1.38E-07
86	1.93E-07
86	2.78E-07
87	2.49E-07
87	2.34E-07
88	3.11E-07
88	3.24E-07
89	4.08E-07
89	4.28E-07
90	4.09E-07
90	6.71E-07
91	4.61E-07
91	3.70E-07
92	2.67E-07
92	2.31E-07
93	2.45E-07
93	3.62E-07
94	3.47E-07
94	4.03E-07
95	5.88E-07
95	6.26E-07
96	8.71E-07
96	1.09E-06
97	1.41E-06
97	1.60E-06
98	1.64E-06
98	1.55E-06
99	1.40E-06
99	1.28E-06
100	1.06E-06
100	6.36E-07
101	6.70E-07
101	5.94E-07
102	4.23E-07
102	2.95E-07
103	2.66E-07
103	2.34E-07
104	2.14E-07
104	2.06E-07
105	1.87E-07
105	2.34E-07
106	2.02E-07
106	3.22E-07
107	2.72E-07
108	3.32E-07
108	3.87E-07
109	3.59E-07
109	3.66E-07
110	4.78E-07
110	5.15E-07
111	6.32E-07
111	7.30E-07
112	7.73E-07
112	7.80E-07
113	7.83E-07
113	9.92E-07
114	9.55E-07
114	8.73E-07
115	9.58E-07
115	1.01E-06
116	1.01E-06
116	9.13E-07
117	8.22E-07
117	8.01E-07
118	7.48E-07
118	7.89E-07
119	6.48E-07
119	7.22E-07
120	7.88E-07
120	3.65E-07
121	4.69E-07
121	4.50E-07
122	4.74E-07
122	4.40E-07
123	3.85E-07
123	3.65E-07
124	3.35E-07
124	3.17E-07
125	2.64E-07
125	2.11E-07
126	2.11E-07
