frequency - Sound Pressure_29 (FFT - (RMS))	Amplitude - Sound Pressure_29 (FFT - (RMS))	frequency - Acceleration (FFT - (RMS))	Amplitude - Acceleration (FFT - (RMS))
10.24	-55.5283	10.24	-80.9262
10.752	-56.967	10.752	-78.6303
11.264	-59.0096	11.264	-87.1247
11.776	-60.9673	11.776	-84.6062
12.288	-58.9392	12.288	-75.2467
12.8	-53.86	12.8	-69.7443
13.312	-55.9368	13.312	-80.5524
13.824	-54.0809	13.824	-58.2872
14.336	-56.338	14.336	-44.6314
14.848	-59.0366	14.848	-43.0779
15.36	-57.0259	15.36	-52.3332
15.872	-65.2846	15.872	-70.5247
16.384	-65.9457	16.384	-77.3309
16.896	-70.7705	16.896	-78.2824
17.408	-48.5603	17.408	-73.1724
17.92	-48.4117	17.92	-73.5686
18.432	-55.5238	18.432	-89.5247
18.944	-55.2048	18.944	-91.9635
19.456	-59.2556	19.456	-81.9795
19.968	-69.7679	19.968	-77.4564
20.48	-56.3121	20.48	-75.6275
20.992	-51.4798	20.992	-76.8866
21.504	-50.6992	21.504	-83.4895
22.016	-51.5291	22.016	-84.7709
22.528	-55.0243	22.528	-88.9841
23.04	-66.6705	23.04	-86.0755
23.552	-59.1846	23.552	-86.3226
24.064	-57.0682	24.064	-86.8295
24.576	-63.2899	24.576	-108.555
25.088	-69.8994	25.088	-89.0876
25.6	-62.3293	25.6	-84.9325
26.112	-58.7818	26.112	-84.2354
26.624	-55.4082	26.624	-79.105
27.136	-56.4463	27.136	-78.2584
27.648	-56.0852	27.648	-88.853
28.16	-55.925	28.16	-96.0171
28.672	-68.6966	28.672	-83.6378
29.184	-52.677	29.184	-90.6903
29.696	-49.9362	29.696	-85.5799
30.208	-57.8618	30.208	-93.7636
30.72	-65.8871	30.72	-98.1012
31.232	-63.6467	31.232	-92.0785
31.744	-66.4705	31.744	-90.1359
32.256	-68.2854	32.256	-86.842
32.768	-80.3214	32.768	-81.885
33.28	-70.9576	33.28	-82.8527
33.792	-66.8563	33.792	-88.2796
34.304	-70.9176	34.304	-84.9006
34.816	-82.7514	34.816	-83.1994
35.328	-70.2685	35.328	-85.4583
35.84	-68.0826	35.84	-82.9529
36.352	-72.5298	36.352	-84.3225
36.864	-73.2031	36.864	-94.6587
37.376	-76.0368	37.376	-87.5607
37.888	-78.1235	37.888	-85.741
38.4	-73.0566	38.4	-88.1821
38.912	-85.952	38.912	-88.5139
39.424	-77.4722	39.424	-84.6264
39.936	-76.392	39.936	-84.4571
40.448	-79.7164	40.448	-83.2705
40.96	-92.8783	40.96	-85.0619
41.472	-73.1865	41.472	-82.9247
41.984	-67.2559	41.984	-82.5083
42.496	-68.8688	42.496	-88.9565
43.008	-74.3275	43.008	-92.1946
43.52	-73.3555	43.52	-96.3853
44.032	-70.2588	44.032	-98.4234
44.544	-77.5639	44.544	-95.8439
45.056001	-86.2945	45.056001	-88.3142
45.568001	-77.8797	45.568001	-89.6343
46.080001	-76.5793	46.080001	-100.505
46.592001	-75.4696	46.592001	-89.2376
47.104001	-73.8824	47.104001	-86.9246
47.616001	-78.2688	47.616001	-85.3646
48.128001	-80.5575	48.128001	-85.8793
48.640001	-80.089	48.640001	-89.8622
49.152001	-81.4701	49.152001	-87.0021
49.664001	-84.1193	49.664001	-92.9446
50.176001	-77.7627	50.176001	-90.9048
50.688001	-74.839	50.688001	-87.7397
51.200001	-72.9809	51.200001	-88.96
51.712001	-72.4893	51.712001	-93.9833
52.224001	-77.8331	52.224001	-87.5013
52.736001	-73.6364	52.736001	-93.0036
53.248001	-71.3869	53.248001	-99.8307
53.760001	-79.1097	53.760001	-102.737
54.272001	-58.9829	54.272001	-85.4821
54.784001	-58.2456	54.784001	-85.009
55.296001	-73.9891	55.296001	-89.3867
55.808001	-77.6914	55.808001	-95.2527
56.320001	-87.8177	56.320001	-101.433
56.832001	-75.926	56.832001	-95.5022
57.344001	-78.8841	57.344001	-103.706
57.856001	-88.1777	57.856001	-86.2831
58.368001	-88.0056	58.368001	-85.6337
58.880001	-77.2642	58.880001	-86.6266
59.392001	-73.8624	59.392001	-82.8078
59.904001	-76.5364	59.904001	-85.507
60.416001	-84.3545	60.416001	-93.0196
60.928001	-81.8176	60.928001	-90.4307
61.440001	-82.7624	61.440001	-87.2721
61.952001	-86.2739	61.952001	-86.8921
62.464001	-86.657	62.464001	-93.3146
62.976001	-84.9528	62.976001	-88.5431
63.488001	-79.253	63.488001	-91.9612
64.000001	-72.1683	64.000001	-101.934
64.512001	-72.44	64.512001	-91.1055
65.024001	-75.2921	65.024001	-94.1548
65.536001	-75.3752	65.536001	-89.8551
66.048001	-79.7786	66.048001	-97.5056
66.560001	-77.4854	66.560001	-91.6559
67.072001	-77.0125	67.072001	-91.814
67.584001	-79.2968	67.584001	-96.1585
68.096001	-80.968	68.096001	-91.6839
68.608001	-81.5386	68.608001	-87.8159
69.120001	-81.718	69.120001	-96.0529
69.632001	-81.0709	69.632001	-81.7602
70.144001	-80.4574	70.144001	-85.812
70.656001	-85.1333	70.656001	-92.3864
71.168001	-102.213	71.168001	-93.6288
71.680001	-77.8868	71.680001	-106.647
72.192001	-76.0682	72.192001	-98.3404
72.704001	-87.8755	72.704001	-93.2535
73.216001	-86.9379	73.216001	-86.6231
73.728001	-95.9786	73.728001	-85.0404
74.240001	-77.3986	74.240001	-93.6618
74.752001	-68.2694	74.752001	-85.9765
75.264001	-71.1761	75.264001	-85.7257
75.776001	-84.3888	75.776001	-86.5526
76.288001	-92.8154	76.288001	-88.7136
76.800001	-115.169	76.800001	-92.273
77.312001	-85.3776	77.312001	-92.5013
77.824001	-79.1243	77.824001	-97.1258
78.336001	-83.0139	78.336001	-86.0457
78.848001	-90.8286	78.848001	-82.0759
79.360001	-86.0838	79.360001	-86.795
79.872001	-89.8798	79.872001	-77.3232
80.384001	-90.4916	80.384001	-78.7108
80.896001	-84.1665	80.896001	-84.318
81.408001	-87.1943	81.408001	-79.572
81.920001	-80.5965	81.920001	-85.6509
82.432001	-77.7616	82.432001	-78.5558
82.944001	-93.7674	82.944001	-84.2882
83.456001	-76.1018	83.456001	-88.3353
83.968001	-75.7821	83.968001	-83.2841
84.480001	-86.5173	84.480001	-82.0781
84.992001	-92.0287	84.992001	-86.3481
85.504001	-89.7716	85.504001	-84.823
86.016001	-86.7895	86.016001	-80.0198
86.528001	-95.9489	86.528001	-79.9365
87.040001	-86.1612	87.040001	-89.0004
87.552001	-90.3109	87.552001	-91.3687
88.064001	-100.532	88.064001	-80.4052
88.576001	-90.6153	88.576001	-84.9444
89.088001	-89.7981	89.088001	-75.799
89.600001	-85.156	89.600001	-75.783
90.112001	-79.3677	90.112001	-76.2573
90.624001	-90.2907	90.624001	-99.014
91.136001	-105.056	91.136001	-80.1258
91.648001	-97.8741	91.648001	-83.5614
92.160001	-83.2151	92.160001	-79.7313
92.672001	-95.9432	92.672001	-80.1717
93.184001	-88.2621	93.184001	-83.1078
93.696001	-85.1979	93.696001	-80.264
94.208001	-86.8621	94.208001	-78.3863
94.720001	-83.8075	94.720001	-75.3472
95.232001	-92.1745	95.232001	-78.4488
95.744001	-87.4493	95.744001	-73.9015
96.256001	-98.7694	96.256001	-80.2687
96.768001	-81.3926	96.768001	-75.2719
97.280001	-87.8701	97.280001	-73.1675
97.792001	-104.492	97.792001	-73.9874
98.304001	-90.742	98.304001	-87.8261
98.816001	-89.4968	98.816001	-83.4926
99.328001	-97.3041	99.328001	-78.4698
99.840001	-87.8525	99.840001	-72.6836
100.352001	-82.0982	100.352001	-77.102
100.864001	-86.2725	100.864001	-88.697
101.376001	-88.2461	101.376001	-75.7805
101.888001	-100.3	101.888001	-76.822
102.400001	-93.3695	102.400001	-79.3998
102.912001	-91.575	102.912001	-78.4361
103.424001	-97.205	103.424001	-80.3036
103.936001	-95.2559	103.936001	-78.4821
104.448001	-89.3288	104.448001	-78.3193
104.960001	-92.1349	104.960001	-77.7622
105.472001	-92.9909	105.472001	-78.7957
105.984001	-88.5225	105.984001	-81.358
106.496001	-87.7616	106.496001	-97.6602
107.008001	-93.6462	107.008001	-96.0676
107.520001	-77.9294	107.520001	-83.3098
108.032001	-73.0401	108.032001	-99.8287
108.544001	-79.6677	108.544001	-87.9903
109.056001	-95.5915	109.056001	-77.8387
109.568001	-98.7128	109.568001	-93.1919
110.080001	-98.7335	110.080001	-83.1015
110.592001	-104.688	110.592001	-81.6678
111.104001	-91.3421	111.104001	-81.2662
111.616001	-91.0931	111.616001	-90.3623
112.128001	-97.9033	112.128001	-82.8905
112.640001	-92.9782	112.640001	-84.5657
113.152001	-91.0641	113.152001	-80.4262
113.664001	-100.686	113.664001	-85.4861
114.176001	-96.253	114.176001	-87.9652
114.688001	-99.267	114.688001	-79.3495
115.200001	-101.42	115.200001	-83.2936
115.712001	-99.0316	115.712001	-82.0314
116.224001	-103.198	116.224001	-100.338
116.736001	-100.723	116.736001	-86.6822
117.248001	-110.503	117.248001	-78.2454
117.760001	-98.8471	117.760001	-84.825
118.272001	-92.811	118.272001	-89.9109
118.784001	-90.8767	118.784001	-82.255
119.296001	-95.4899	119.296001	-83.6879
119.808001	-82.6761	119.808001	-83.66
120.320001	-82.8534	120.320001	-92.0179
120.832001	-93.6312	120.832001	-89.8414
121.344001	-101.725	121.344001	-87.6372
121.856001	-99.3122	121.856001	-84.7751
122.368001	-96.1339	122.368001	-83.4904
122.880001	-98.8258	122.880001	-89.9058
123.392001	-99.5716	123.392001	-87.5342
123.904001	-94.1844	123.904001	-94.7964
124.416001	-95.1713	124.416001	-86.8549
124.928001	-106.42	124.928001	-88.0882
125.440001	-92.0821	125.440001	-83.7644
125.952001	-88.9082	125.952001	-90.2853
126.464001	-91.3346	126.464001	-89.2844
126.976001	-97.0636	126.976001	-81.1236
127.488001	-97.009	127.488001	-89.7712
128.000001	-101.324	128.000001	-96.6475
128.512001	-100.371	128.512001	-93.1008
129.024001	-94.9858	129.024001	-87.0455
129.536001	-97.6932	129.536001	-83.2051
130.048001	-90.3584	130.048001	-83.7023
130.560001	-83.4158	130.560001	-87.5489
131.072001	-86.1687	131.072001	-83.0459
131.584001	-95.3914	131.584001	-83.3895
132.096001	-98.764	132.096001	-84.8829
132.608001	-100.59	132.608001	-86.9175
133.120001	-94.494	133.120001	-84.7719
133.632001	-96.7101	133.632001	-92.6672
134.144001	-103.031	134.144001	-97.4275
134.656001	-102.184	134.656001	-87.3246
135.168002	-97.4596	135.168002	-84.0909
135.680002	-99.0111	135.680002	-90.1995
136.192002	-97.3206	136.192002	-86.3461
136.704002	-97.3767	136.704002	-90.5149
137.216002	-95.9908	137.216002	-88.9628
137.728002	-102.076	137.728002	-90.3855
138.240002	-97.7514	138.240002	-91.052
138.752002	-101.225	138.752002	-89.7221
139.264002	-108.75	139.264002	-90.2132
139.776002	-106.289	139.776002	-90.5767
140.288002	-99.0155	140.288002	-82.896
140.800002	-96.9057	140.800002	-87.3237
141.312002	-107.876	141.312002	-85.1814
141.824002	-94.9644	141.824002	-83.4269
142.336002	-88.2749	142.336002	-86.904
142.848002	-92.0006	142.848002	-83.8218
143.360002	-94.5987	143.360002	-82.471
143.872002	-85.7002	143.872002	-89.1794
144.384002	-86.5594	144.384002	-95.1455
144.896002	-98.153	144.896002	-91.6993
145.408002	-102.437	145.408002	-86.1163
145.920002	-100.733	145.920002	-86.5825
146.432002	-90.7718	146.432002	-84.2525
146.944002	-87.5913	146.944002	-86.1384
147.456002	-90.7218	147.456002	-83.8997
