Frequency - Plot 0	Amplitude - Plot 0
10	-0.548892
11	-0.659842
12	-1.21248
13	-1.18985
14	-1.27936
15	-1.60104
16	0.477777
17	-0.98031
18	-0.727463
19	0.151883
20	0.491889
21	-0.980761
22	-2.83272
23	-0.743723
24	1.63684
25	0.750348
26	-1.48082
27	-0.564859
28	-2.43589
29	-3.09165
30	2.59356
31	-2.5963
32	-1.81412
33	-1.78322
34	-1.78032
35	1.22551
36	0.254359
37	1.63666
38	-0.208933
39	-0.955279
40	-2.97328
41	0.0553636
42	2.97333
43	-0.670433
44	-2.73317
45	-2.58443
46	3.13048
47	-1.56025
48	-0.306019
49	-0.454585
50	1.43114
51	-0.719187
52	2.79242
53	-0.767701
54	1.01595
55	-1.61704
56	0.324073
57	1.83215
58	-0.888087
59	-0.771312
60	-1.15426
61	-2.66401
62	-1.00972
63	-2.48939
64	-1.42312
65	-0.743723
66	1.71606
67	-0.914009
68	-0.659121
69	-0.0765631
70	-1.054
71	-2.2337
72	-2.32249
73	-2.25958
74	-2.01567
75	-3.09315
76	-1.84865
77	-1.3159
78	-0.682999
79	-1.21754
80	-1.06065
81	-1.2363
82	-1.64245
83	1.479
84	-2.0929
85	-2.77129
86	-1.29717
87	-2.64971
88	2.76116
89	2.58852
90	1.05738
91	-1.94044
92	-2.79173
93	-1.4426
94	-1.62981
95	-1.8888
96	-1.8878
97	-2.00361
98	-1.97204
99	-0.923962
100	0.471351
101	-1.90285
102	-0.990112
103	-1.07965
104	2.9872
105	-2.23867
106	-2.23319
107	0.492865
108	0.744555
109	0.874582
110	-0.575467
111	-0.687342
112	-0.712349
113	-0.830295
114	-1.33902
115	-1.57288
116	1.55987
117	-0.776003
118	-0.369159
119	-1.35688
120	-0.510694
121	-0.692934
122	-1.16405
123	-1.5026
124	-1.26687
125	-0.179008
126	-2.14795
127	-0.730209
128	-2.52859
129	-1.04393
130	0.158187
131	-1.02233
132	-0.218666
133	-0.850946
134	-0.64278
135	-1.69856
136	-2.0374
137	-0.922466
138	-1.42741
139	-1.1601
140	-1.08162
141	2.09948
142	-0.418465
143	-1.21022
144	-1.10238
145	-1.23381
146	-1.8655
147	0.52508
148	-0.0439098
149	0.164455
150	-0.124563
151	-0.295032
152	0.329194
153	-0.544418
154	-0.423661
155	-0.472428
156	-0.0420797
157	0.0278493
158	-0.129193
159	0.247728
160	-0.18528
161	-0.906877
162	0.146002
163	0.329912
164	1.2041
165	0.454955
166	0.780267
167	0.675444
168	0.817881
169	1.11233
170	1.42369
171	1.4234
172	1.60302
173	1.87011
174	1.96222
175	2.24595
176	2.39701
177	2.34754
178	2.25535
179	2.32997
180	2.67757
181	1.66315
182	1.27931
183	0.963225
184	1.22426
185	1.32873
186	1.75317
187	2.00127
188	2.12179
189	2.29094
190	2.48081
191	2.47442
192	2.51773
193	2.59988
194	2.53734
195	2.53261
196	2.40472
197	2.32842
198	2.30655
199	2.02431
200	1.83471
201	1.5892
202	1.25739
203	0.891
204	0.444778
205	0.542105
206	0.383103
207	-0.0108047
208	-0.344885
209	-0.608
210	-0.876114
211	1.24759
212	-0.847757
213	-1.12229
214	-1.29062
215	-1.44668
216	-1.56396
217	-1.74137
218	-1.58721
219	-1.75192
220	-1.77484
221	-1.84829
222	-1.79568
223	-1.82828
224	-1.89989
225	-1.88861
226	-1.94673
227	-1.94621
228	-2.01346
229	-2.00672
230	-2.03644
231	-2.1237
232	-2.21537
233	-2.22434
234	-2.41266
235	-2.14678
236	-2.15673
237	-2.31298
238	-2.46502
239	-2.55737
240	-2.49304
241	-2.55303
242	-2.73325
243	-2.68255
244	-2.79097
245	-2.97307
246	-3.03393
247	-3.07771
248	2.89949
249	2.62731
250	2.17345
251	1.66095
252	1.09042
253	0.856134
254	0.756668
255	0.98269
256	0.307166
257	0.298315
258	0.188376
259	0.17644
260	0.0517638
261	0.132759
262	0.102129
263	0.0211787
264	-0.0134579
265	-0.10211
266	-0.0564567
267	-0.144307
268	-0.0758881
269	-0.136045
270	-0.119111
271	-0.129616
272	-0.194552
273	-0.225457
274	-0.205672
275	-0.0974436
276	-0.184084
277	-0.227996
278	-0.0257497
279	-0.275653
280	-0.195243
281	-0.131152
282	-0.489728
283	-0.490426
284	-0.4336
285	-0.465728
286	-0.400317
287	-0.581708
288	-0.239656
289	-0.379371
290	-0.30008
291	-0.382625
292	0.0866448
293	-1.42656
294	-0.80005
295	-0.648393
296	-0.545351
297	-0.405243
298	-0.548699
299	-0.498254
300	-0.485393
301	-0.502554
302	-0.28964
303	-0.0196797
304	-0.38529
305	-0.262411
306	0.039666
307	0.634214
308	0.0214117
309	0.137468
310	0.320327
311	0.255999
312	0.316713
313	0.329591
314	0.369434
315	0.447553
316	0.707152
317	0.775092
318	0.615758
319	0.803296
320	0.716395
321	0.52167
322	0.830851
323	0.725635
324	0.705098
325	0.781948
326	0.668584
327	0.807524
328	0.64961
329	0.623077
330	0.802614
331	0.75761
332	0.504406
333	0.580419
334	0.620024
335	0.549983
336	0.564991
337	0.705015
338	0.929594
339	0.759036
340	0.961337
341	0.922659
342	0.708384
343	0.745689
344	0.922379
345	0.552254
346	0.718916
347	0.88294
348	0.660648
349	0.623547
350	0.726224
351	0.738384
352	0.858377
353	0.817157
354	0.843754
355	0.774459
356	0.875525
357	0.899893
358	0.783766
359	0.830743
360	1.01065
361	0.775588
362	0.75338
363	1.06796
364	0.80409
365	0.833026
366	0.886159
367	0.958554
368	0.866002
369	0.819231
370	0.858919
371	0.754626
372	0.794695
373	0.748701
374	0.846623
375	0.642243
376	0.61447
377	0.695526
378	0.509928
379	0.418555
380	0.603999
381	0.496525
382	0.355555
383	0.371499
384	0.362842
385	0.092152
386	0.0896023
387	0.268566
388	0.0680841
389	-0.0652003
390	0.0362703
391	-3.10913
392	3.08277
393	3.11429
394	-3.12154
