frequency - Sound Pressure_29 (FFT - (RMS))	Amplitude - Sound Pressure_29 (FFT - (RMS))	frequency - Acceleration (FFT - (RMS))	Amplitude - Acceleration (FFT - (RMS))
10.24	-36.4829	10.24	-77.8496
10.752	-36.8991	10.752	-94.5626
11.264	-44.8214	11.264	-76.8229
11.776	-40.6497	11.776	-76.1873
12.288	-36.4781	12.288	-71.9779
12.8	-37.3592	12.8	-72.2989
13.312	-38.8974	13.312	-64.05
13.824	-53.9627	13.824	-44.4503
14.336	-43.8976	14.336	-38.7231
14.848	-56.081	14.848	-46.2508
15.36	-43.7484	15.36	-52.6066
15.872	-38.2394	15.872	-63.447
16.384	-44.6183	16.384	-74.7406
16.896	-40.0757	16.896	-80.0663
17.408	-37.4849	17.408	-78.0837
17.92	-45.3714	17.92	-76.005
18.432	-36.4811	18.432	-75.9969
18.944	-38.3139	18.944	-79.0653
19.456	-43.5405	19.456	-78.3916
19.968	-52.5173	19.968	-84.0923
20.48	-46.6686	20.48	-78.672
20.992	-52.7618	20.992	-81.4179
21.504	-45.7492	21.504	-89.2323
22.016	-44.5014	22.016	-78.3611
22.528	-43.3024	22.528	-78.4557
23.04	-52.1616	23.04	-75.8615
23.552	-52.7942	23.552	-72.68
24.064	-47.9789	24.064	-67.6574
24.576	-57.8025	24.576	-65.6527
25.088	-55.1605	25.088	-73.198
25.6	-58.1091	25.6	-81.2078
26.112	-59.6239	26.112	-72.683
26.624	-53.4161	26.624	-70.1461
27.136	-53.4529	27.136	-75.7271
27.648	-55.4862	27.648	-75.688
28.16	-60.5301	28.16	-77.4287
28.672	-54.5456	28.672	-78.5957
29.184	-62.7221	29.184	-71.1815
29.696	-55.7658	29.696	-68.6724
30.208	-70.4092	30.208	-78.6614
30.72	-53.1002	30.72	-90.2934
31.232	-57.8441	31.232	-99.2375
31.744	-56.1029	31.744	-96.7726
32.256	-57.2523	32.256	-95.4424
32.768	-48.8436	32.768	-93.7833
33.28	-49.8464	33.28	-90.7103
33.792	-56.4374	33.792	-95.9113
34.304	-66.3593	34.304	-89.1023
34.816	-54.7085	34.816	-87.8341
35.328	-61.8168	35.328	-93.6123
35.84	-64.3904	35.84	-97.8825
36.352	-55.0903	36.352	-93.0692
36.864	-53.2796	36.864	-89.0199
37.376	-52.2469	37.376	-88.6624
37.888	-48.8227	37.888	-91.9156
38.4	-52.3743	38.4	-97.5159
38.912	-62.605	38.912	-90.3584
39.424	-64.1302	39.424	-91.3368
39.936	-58.1425	39.936	-96.2783
40.448	-57.3586	40.448	-98.2641
40.96	-56.8975	40.96	-93.1578
41.472	-58.0124	41.472	-89.8246
41.984	-47.6775	41.984	-84.6625
42.496	-48.4913	42.496	-84.8124
43.008	-50.699	43.008	-88.9628
43.52	-58.1711	43.52	-91.8703
44.032	-53.615	44.032	-95.9193
44.544	-46.2834	44.544	-93.0064
45.056001	-46.6506	45.056001	-88.7142
45.568001	-59.1641	45.568001	-96.5134
46.080001	-53.8977	46.080001	-115.552
46.592001	-52.8306	46.592001	-101.285
47.104001	-53.9355	47.104001	-93.3696
47.616001	-52.8553	47.616001	-93.3874
48.128001	-52.5378	48.128001	-104.961
48.640001	-58.0344	48.640001	-102.212
49.152001	-58.83	49.152001	-93.6128
49.664001	-57.2859	49.664001	-87.9347
50.176001	-64.61	50.176001	-82.6626
50.688001	-53.012	50.688001	-82.9706
51.200001	-48.1338	51.200001	-90.1732
51.712001	-48.7335	51.712001	-87.4026
52.224001	-73.7094	52.224001	-86.811
52.736001	-48.416	52.736001	-91.5108
53.248001	-50.2802	53.248001	-91.8556
53.760001	-55.604	53.760001	-95.6101
54.272001	-51.1374	54.272001	-85.6102
54.784001	-54.4329	54.784001	-85.6471
55.296001	-55.5942	55.296001	-97.6013
55.808001	-57.7377	55.808001	-94.837
56.320001	-48.9319	56.320001	-93.4822
56.832001	-48.6585	56.832001	-105.684
57.344001	-57.8517	57.344001	-92.6021
57.856001	-61.2005	57.856001	-92.8719
58.368001	-50.9408	58.368001	-100.599
58.880001	-54.7434	58.880001	-85.0329
59.392001	-52.0303	59.392001	-84.1967
59.904001	-49.9121	59.904001	-91.8133
60.416001	-61.2838	60.416001	-90.6674
60.928001	-47.9477	60.928001	-98.8983
61.440001	-48.6453	61.440001	-96.6194
61.952001	-55.6304	61.952001	-89.4355
62.464001	-55.4562	62.464001	-86.1171
62.976001	-56.6679	62.976001	-86.5616
63.488001	-61.1513	63.488001	-94.7687
64.000001	-49.5059	64.000001	-97.1364
64.512001	-61.8012	64.512001	-82.5294
65.024001	-55.9219	65.024001	-85.7808
65.536001	-64.9552	65.536001	-86.348
66.048001	-60.3592	66.048001	-81.6595
66.560001	-57.0581	66.560001	-81.8928
67.072001	-58.9183	67.072001	-88.2933
67.584001	-62.3187	67.584001	-90.4978
68.096001	-64.6981	68.096001	-88.1625
68.608001	-60.631	68.608001	-94.111
69.120001	-58.7767	69.120001	-96.3604
69.632001	-66.179	69.632001	-98.6821
70.144001	-64.3067	70.144001	-90.0063
70.656001	-61.5164	70.656001	-89.6394
71.168001	-58.2002	71.168001	-88.1083
71.680001	-62.3289	71.680001	-99.1097
72.192001	-77.718	72.192001	-90.9625
72.704001	-69.5521	72.704001	-80.1527
73.216001	-100.478	73.216001	-74.5735
73.728001	-65.3747	73.728001	-77.0279
74.240001	-60.764	74.240001	-83.8158
74.752001	-58.4582	74.752001	-86.0717
75.264001	-57.8302	75.264001	-83.0915
75.776001	-62.5736	75.776001	-80.8455
76.288001	-58.2161	76.288001	-77.5054
76.800001	-56.7094	76.800001	-78.8445
77.312001	-59.9645	77.312001	-85.2076
77.824001	-62.4428	77.824001	-83.3102
78.336001	-66.678	78.336001	-78.9348
78.848001	-64.0608	78.848001	-80.9229
79.360001	-61.6231	79.360001	-77.7107
79.872001	-65.0259	79.872001	-78.0134
80.384001	-63.3235	80.384001	-80.7427
80.896001	-67.0798	80.896001	-86.6492
81.408001	-63.3968	81.408001	-84.1949
81.920001	-59.3969	81.920001	-79.1972
82.432001	-59.2553	82.432001	-73.6373
82.944001	-61.17	82.944001	-69.8758
83.456001	-56.9264	83.456001	-89.4211
83.968001	-64.936	83.968001	-81.9443
84.480001	-57.65	84.480001	-76.7381
84.992001	-62.175	84.992001	-87.8625
85.504001	-62.7754	85.504001	-74.3189
86.016001	-59.813	86.016001	-65.1537
86.528001	-57.7161	86.528001	-72.5237
87.040001	-93.292	87.040001	-73.9046
87.552001	-59.6056	87.552001	-62.504
88.064001	-58.8888	88.064001	-64.2187
88.576001	-59.6533	88.576001	-59.4097
89.088001	-65.96	89.088001	-64.849
89.600001	-67.9158	89.600001	-61.9732
90.112001	-60.9164	90.112001	-61.7975
90.624001	-58.4615	90.624001	-64.1708
91.136001	-57.8065	91.136001	-68.8881
91.648001	-56.4812	91.648001	-69.6976
92.160001	-62.8758	92.160001	-66.2401
92.672001	-60.3612	92.672001	-72.2697
93.184001	-66.9314	93.184001	-74.2827
93.696001	-75.3372	93.696001	-65.3766
94.208001	-71.5367	94.208001	-59.8498
94.720001	-65.091	94.720001	-61.2917
95.232001	-69.7318	95.232001	-62.4753
95.744001	-71.6631	95.744001	-62.3608
96.256001	-66.247	96.256001	-63.7915
96.768001	-69.2903	96.768001	-66.7762
97.280001	-70.7279	97.280001	-74.8233
97.792001	-68.1576	97.792001	-72.9153
98.304001	-67.5282	98.304001	-70.503
98.816001	-61.7464	98.816001	-72.9831
99.328001	-57.6548	99.328001	-74.607
99.840001	-59.0971	99.840001	-86.8188
100.352001	-70.8001	100.352001	-85.8311
100.864001	-61.8936	100.864001	-79.5109
101.376001	-64.6919	101.376001	-87.3444
101.888001	-64.6755	101.888001	-77.0692
102.400001	-65.0359	102.400001	-77.8637
102.912001	-68.737	102.912001	-82.6434
103.424001	-70.195	103.424001	-92.9502
103.936001	-74.631	103.936001	-87.997
104.448001	-69.1794	104.448001	-87.5932
104.960001	-72.8322	104.960001	-83.9186
105.472001	-73.2625	105.472001	-81.5258
105.984001	-65.0284	105.984001	-85.2805
106.496001	-69.954	106.496001	-93.8785
107.008001	-72.86	107.008001	-91.7154
107.520001	-60.1074	107.520001	-88.5987
108.032001	-59.7276	108.032001	-85.517
108.544001	-65.8945	108.544001	-85.9821
109.056001	-61.4157	109.056001	-83.1506
109.568001	-68.064	109.568001	-99.1744
110.080001	-54.9991	110.080001	-81.7351
110.592001	-56.9896	110.592001	-81.7707
111.104001	-64.7744	111.104001	-83.2014
111.616001	-63.6691	111.616001	-84.6548
112.128001	-62.2257	112.128001	-91.0806
112.640001	-62.706	112.640001	-91.7326
113.152001	-63.4426	113.152001	-92.3516
113.664001	-66.0317	113.664001	-95.2686
114.176001	-63.778	114.176001	-92.0633
114.688001	-68.3265	114.688001	-87.2117
115.200001	-80.4793	115.200001	-87.6129
115.712001	-72.266	115.712001	-91.3078
116.224001	-69.3809	116.224001	-94.7039
116.736001	-75.5576	116.736001	-99.5856
117.248001	-62.2088	117.248001	-95.7168
117.760001	-62.6251	117.760001	-94.6392
118.272001	-58.6854	118.272001	-91.6684
118.784001	-60.4321	118.784001	-86.7021
119.296001	-62.4942	119.296001	-87.6123
119.808001	-60.5561	119.808001	-97.8337
120.320001	-61.3601	120.320001	-95.8742
120.832001	-59.524	120.832001	-92.0454
121.344001	-63.304	121.344001	-101.411
121.856001	-64.9318	121.856001	-91.003
122.368001	-59.184	122.368001	-93.679
122.880001	-58.6414	122.880001	-97.5822
123.392001	-61.0043	123.392001	-98.1503
123.904001	-61.0402	123.904001	-97.587
124.416001	-71.6739	124.416001	-88.309
124.928001	-63.8983	124.928001	-87.9794
125.440001	-64.5016	125.440001	-90.654
125.952001	-62.6587	125.952001	-92.458
126.464001	-60.1352	126.464001	-87.7836
126.976001	-64.377	126.976001	-87.825
127.488001	-61.8125	127.488001	-91.5529
128.000001	-61.4957	128.000001	-90.3477
128.512001	-53.8926	128.512001	-85.949
129.024001	-57.8142	129.024001	-90.3055
129.536001	-81.6967	129.536001	-113.156
130.048001	-68.2756	130.048001	-94.7512
130.560001	-69.821	130.560001	-91.424
131.072001	-64.6216	131.072001	-90.7374
131.584001	-60.1317	131.584001	-86.5671
132.096001	-60.0471	132.096001	-88.6327
132.608001	-60.3709	132.608001	-91.4979
133.120001	-61.8213	133.120001	-91.3911
133.632001	-60.8697	133.632001	-94.8082
134.144001	-75.7583	134.144001	-95.1966
134.656001	-64.3799	134.656001	-93.6488
135.168002	-62.9888	135.168002	-94.4371
135.680002	-68.0426	135.680002	-90.5416
136.192002	-59.6555	136.192002	-93.3317
136.704002	-61.1087	136.704002	-93.1895
137.216002	-66.1827	137.216002	-89.0039
137.728002	-71.4056	137.728002	-91.405
138.240002	-60.3242	138.240002	-93.3303
138.752002	-57.6585	138.752002	-90.4169
139.264002	-54.9306	139.264002	-92.707
139.776002	-55.8524	139.776002	-95.7012
140.288002	-61.8756	140.288002	-96.4159
140.800002	-57.4159	140.800002	-98.3771
141.312002	-56.8345	141.312002	-102.082
141.824002	-73.2134	141.824002	-95.7178
142.336002	-65.3764	142.336002	-107.557
142.848002	-65.7801	142.848002	-95.6743
143.360002	-72.4851	143.360002	-87.1724
143.872002	-74.2402	143.872002	-87.769
144.384002	-63.3491	144.384002	-97.8967
144.896002	-60.1948	144.896002	-95.922
145.408002	-61.4617	145.408002	-89.3495
145.920002	-64.5111	145.920002	-89.9237
146.432002	-60.1233	146.432002	-94.1487
146.944002	-59.0966	146.944002	-89.8796
147.456002	-63.6469	147.456002	-88.4422
147.968002	-65.9745	147.968002	-88.8275
148.480002	-63.4734	148.480002	-94.8618
148.992002	-70.67	148.992002	-93.3248
149.504002	-67.3578	149.504002	-102.191
150.016002	-69.504	150.016002	-86.7303
150.528002	-66.0647	150.528002	-82.3479
151.040002	-68.5127	151.040002	-84.6583
151.552002	-66.5875	151.552002	-103.019
152.064002	-55.9589	152.064002	-85.6069
152.576002	-56.7141	152.576002	-88.0048
153.088002	-60.71	153.088002	-91.1693
153.600002	-61.4488	153.600002	-92.8751
154.112002	-64.9514	154.112002	-91.6701
154.624002	-67.3785	154.624002	-91.2995
155.136002	-63.1965	155.136002	-94.8796
155.648002	-61.7349	155.648002	-100.533
156.160002	-65.8163	156.160002	-88.3001
156.672002	-65.6564	156.672002	-88.9803
157.184002	-59.9274	157.184002	-86.2722
157.696002	-73.2805	157.696002	-84.0559
158.208002	-62.8687	158.208002	-91.4868
158.720002	-61.7496	158.720002	-91.7654
159.232002	-60.2662	159.232002	-86.4874
159.744002	-57.5214	159.744002	-84.7847
160.256002	-58.3981	160.256002	-88.4366
160.768002	-59.3179	160.768002	-83.4047
161.280002	-59.3862	161.280002	-80.1024
161.792002	-68.0732	161.792002	-98.0836
162.304002	-59.1697	162.304002	-88.7554
162.816002	-56.1248	162.816002	-85.3548
163.328002	-53.0743	163.328002	-83.1312
163.840002	-51.1605	163.840002	-82.4892
164.352002	-55.7722	164.352002	-79.8096
164.864002	-54.6956	164.864002	-78.6571
165.376002	-50.9302	165.376002	-80.1074
165.888002	-61.1985	165.888002	-85.5335
166.400002	-56.4328	166.400002	-89.2823
166.912002	-62.77	166.912002	-90.959
167.424002	-64.2449	167.424002	-88.388
167.936002	-60.7026	167.936002	-84.7262
168.448002	-55.6677	168.448002	-87.0292
168.960002	-59.4294	168.960002	-93.287
169.472002	-70.4894	169.472002	-88.8771
169.984002	-81.0275	169.984002	-84.0889
170.496002	-64.7214	170.496002	-84.6386
171.008002	-65.7965	171.008002	-83.9448
171.520002	-71.535	171.520002	-85.0213
172.032002	-69.0695	172.032002	-88.3837
172.544002	-66.4001	172.544002	-87.1344
173.056002	-68.097	173.056002	-84.9056
173.568002	-63.9556	173.568002	-84.0196
174.080002	-60.4284	174.080002	-84.9028
174.592002	-55.1553	174.592002	-87.5372
175.104002	-56.9745	175.104002	-89.3061
175.616002	-61.0191	175.616002	-89.3724
176.128002	-63.97	176.128002	-82.7414
176.640002	-74.7933	176.640002	-86.1016
177.152002	-68.7527	177.152002	-83.7404
177.664002	-58.5575	177.664002	-87.0193
178.176002	-59.1673	178.176002	-82.1967
178.688002	-59.7629	178.688002	-78.1803
179.200002	-59.5006	179.200002	-81.6174
179.712002	-61.5174	179.712002	-80.5411
180.224002	-62.9837	180.224002	-98.9507
180.736002	-66.0434	180.736002	-94.6043
181.248002	-65.8794	181.248002	-82.9839
181.760002	-66.5179	181.760002	-90.4079
182.272002	-68.8971	182.272002	-91.3096
182.784002	-73.5625	182.784002	-94.9045
183.296002	-69.7651	183.296002	-82.9351
183.808002	-64.8177	183.808002	-89.2394
184.320002	-69.0776	184.320002	-82.8224
184.832002	-85.3695	184.832002	-87.7466
185.344002	-80.9434	185.344002	-84.864
185.856002	-74.6326	185.856002	-82.528
186.368002	-72.8699	186.368002	-82.5946
186.880002	-76.7749	186.880002	-90.4733
187.392002	-87.6184	187.392002	-82.7022
187.904002	-85.7632	187.904002	-85.4006
188.416002	-79.201	188.416002	-83.7357
188.928002	-72.6441	188.928002	-86.2326
189.440002	-69.5932	189.440002	-87.4795
189.952002	-70.9815	189.952002	-78.7008
190.464002	-66.2419	190.464002	-80.4907
190.976002	-66.9768	190.976002	-78.1601
191.488002	-66.2986	191.488002	-81.9541
192.000002	-62.9987	192.000002	-100.649
192.512002	-68.0127	192.512002	-82.9101
193.024002	-67.3409	193.024002	-87.4084
193.536002	-69.7454	193.536002	-87.7503
194.048002	-72.0239	194.048002	-92.3728
194.560002	-72.1093	194.560002	-86.4023
195.072002	-83.4052	195.072002	-86.9025
195.584002	-71.6349	195.584002	-95.0219
196.096002	-68.8007	196.096002	-92.0611
196.608002	-70.7791	196.608002	-91.4212
197.120002	-63.544	197.120002	-94.3617
197.632002	-62.9728	197.632002	-90.8803
198.144002	-67.541	198.144002	-79.1284
198.656002	-70.9471	198.656002	-82.1986
199.168002	-65.2347	199.168002	-82.9602
199.680002	-63.0869	199.680002	-94.8263
200.192002	-67.1297	200.192002	-94.8185
200.704002	-73.8494	200.704002	-82.2544
201.216002	-75.2941	201.216002	-83.7084
201.728002	-69.8416	201.728002	-80.4887
202.240002	-67.5911	202.240002	-84.3984
202.752002	-81.534	202.752002	-85.058
203.264002	-65.8407	203.264002	-78.2825
203.776002	-64.9997	203.776002	-81.9587
204.288002	-68.9571	204.288002	-81.8295
204.800002	-68.2336	204.800002	-86.9046
205.312002	-72.2276	205.312002	-86.5622
205.824002	-73.4776	205.824002	-78.1901
206.336002	-63.3151	206.336002	-75.4299
206.848002	-61.4457	206.848002	-74.3583
207.360002	-65.3086	207.360002	-82.7625
207.872002	-64.4681	207.872002	-80.0847
208.384002	-65.1738	208.384002	-87.863
208.896002	-68.8322	208.896002	-91.9843
209.408002	-70.8651	209.408002	-89.561
209.920002	-67.2027	209.920002	-75.073
210.432002	-66.8733	210.432002	-80.2568
210.944002	-65.0865	210.944002	-79.5696
211.456002	-64.6029	211.456002	-85.6501
211.968002	-76.7626	211.968002	-89.2508
212.480002	-66.9667	212.480002	-88.9718
212.992002	-69.4929	212.992002	-78.8493
213.504002	-69.3965	213.504002	-82.0635
214.016002	-72.2629	214.016002	-82.6858
214.528002	-67.1255	214.528002	-88.3539
215.040002	-67.8846	215.040002	-79.73
215.552002	-70.3055	215.552002	-86.0398
216.064002	-72.5613	216.064002	-82.4392
216.576002	-71.1733	216.576002	-97.2505
217.088002	-72.9816	217.088002	-91.3735
217.600002	-66.2157	217.600002	-86.492
218.112002	-66.838	218.112002	-82.3097
218.624002	-65.8977	218.624002	-84.9893
219.136002	-65.3609	219.136002	-88.9063
219.648002	-60.4211	219.648002	-83.4768
220.160002	-55.9079	220.160002	-81.5081
220.672002	-57.6771	220.672002	-91.7933
221.184002	-65.6481	221.184002	-93.9351
221.696002	-72.381	221.696002	-90.0638
222.208002	-72.1871	222.208002	-84.426
222.720002	-73.9368	222.720002	-84.5131
223.232002	-64.0912	223.232002	-82.235
223.744002	-65.4249	223.744002	-88.4501
224.256002	-76.5465	224.256002	-101.03
224.768002	-73.7022	224.768002	-101.266
225.280003	-79.4035	225.280003	-86.3492
225.792003	-74.2487	225.792003	-92.733
226.304003	-88.4453	226.304003	-94.2867
226.816003	-69.7277	226.816003	-92.477
227.328003	-73.6506	227.328003	-95.557
227.840003	-74.9103	227.840003	-84.7543
228.352003	-67.7735	228.352003	-90.2609
