frequency - Sound Pressure_29 (FFT - (RMS))	Amplitude - Sound Pressure_29 (FFT - (RMS))	frequency - Acceleration (FFT - (RMS))	Amplitude - Acceleration (FFT - (RMS))
10.24	-50.9796	10.24	-85.5046
10.752	-51.0932	10.752	-77.417
11.264	-58.5235	11.264	-79.6447
11.776	-58.7307	11.776	-77.6051
12.288	-55.3328	12.288	-78.5987
12.8	-55.32	12.8	-62.7042
13.312	-58.592	13.312	-47.652
13.824	-52.1909	13.824	-43.6276
14.336	-51.0368	14.336	-46.9045
14.848	-62.273	14.848	-59.464
15.36	-56.0362	15.36	-69.4417
15.872	-63.993	15.872	-65.0832
16.384	-65.6298	16.384	-67.3603
16.896	-50.9746	16.896	-69.6613
17.408	-46.4745	17.408	-63.0075
17.92	-53.5423	17.92	-71.3654
18.432	-59.2569	18.432	-77.2357
18.944	-57.2484	18.944	-76.5879
19.456	-56.356	19.456	-77.8283
19.968	-63.7686	19.968	-75.8614
20.48	-76.5127	20.48	-74.4338
20.992	-64.4008	20.992	-79.474
21.504	-73.6258	21.504	-81.1219
22.016	-63.0442	22.016	-81.6944
22.528	-59.3908	22.528	-89.8083
23.04	-62.3497	23.04	-84.4998
23.552	-58.5175	23.552	-83.7215
24.064	-61.1556	24.064	-79.1604
24.576	-67.0382	24.576	-78.8589
25.088	-64.7709	25.088	-80.9482
25.6	-68.5335	25.6	-79.3446
26.112	-62.9549	26.112	-82.6026
26.624	-57.3622	26.624	-88.1529
27.136	-58.9509	27.136	-89.2858
27.648	-64.378	27.648	-84.5437
28.16	-64.1729	28.16	-86.1993
28.672	-62.7766	28.672	-86.6856
29.184	-57.72	29.184	-98.0439
29.696	-57.1398	29.696	-89.5649
30.208	-63.8021	30.208	-89.2671
30.72	-62.2167	30.72	-87.6244
31.232	-68.0242	31.232	-94.6998
31.744	-66.8345	31.744	-88.1435
32.256	-71.2892	32.256	-91.1791
32.768	-69.8854	32.768	-100.107
33.28	-64.8247	33.28	-87.942
33.792	-68.3464	33.792	-82.4605
34.304	-66.0583	34.304	-81.0067
34.816	-61.8925	34.816	-83.7867
35.328	-69.339	35.328	-87.263
35.84	-79.6274	35.84	-82.2902
36.352	-74.141	36.352	-81.8191
36.864	-72.1041	36.864	-84.3094
37.376	-71.3708	37.376	-94.1283
37.888	-83.0096	37.888	-91.5949
38.4	-84.5742	38.4	-88.0334
38.912	-79.2246	38.912	-88.8869
39.424	-78.5984	39.424	-91.4394
39.936	-75.1515	39.936	-97.0868
40.448	-76.501	40.448	-95.9835
40.96	-87.7099	40.96	-86.4779
41.472	-65.1166	41.472	-87.9471
41.984	-56.9257	41.984	-89.0491
42.496	-58.9695	42.496	-84.1959
43.008	-72.4182	43.008	-88.3768
43.52	-81.5572	43.52	-93.9606
44.032	-77.9825	44.032	-94.2512
44.544	-75.2305	44.544	-93.4623
45.056001	-73.5883	45.056001	-96.1903
45.568001	-75.8665	45.568001	-101.424
46.080001	-72.0607	46.080001	-94.2726
46.592001	-73.4712	46.592001	-92.8725
47.104001	-80.9672	47.104001	-101.049
47.616001	-89.2326	47.616001	-98.2956
48.128001	-85.9882	48.128001	-90.601
48.640001	-72.8439	48.640001	-88.7367
49.152001	-70.6552	49.152001	-90.7566
49.664001	-72.5767	49.664001	-95.6901
50.176001	-76.6024	50.176001	-98.1374
50.688001	-76.1682	50.688001	-92.2682
51.200001	-83.8313	51.200001	-93.3379
51.712001	-95.1065	51.712001	-98.3301
52.224001	-81.5497	52.224001	-104.24
52.736001	-80.6868	52.736001	-98.5368
53.248001	-76.1142	53.248001	-96.7192
53.760001	-76.6978	53.760001	-105.193
54.272001	-61.8199	54.272001	-110.129
54.784001	-62.6491	54.784001	-96.335
55.296001	-84.0966	55.296001	-97.5661
55.808001	-71.6561	55.808001	-93.7158
56.320001	-75.777	56.320001	-92.4982
56.832001	-75.8111	56.832001	-98.9634
57.344001	-75.5543	57.344001	-94.0584
57.856001	-77.4468	57.856001	-93.0741
58.368001	-75.1839	58.368001	-100.77
58.880001	-71.9636	58.880001	-93.5883
59.392001	-70.6125	59.392001	-95.5016
59.904001	-77.8217	59.904001	-94.1037
60.416001	-86.2402	60.416001	-97.1699
60.928001	-85.3521	60.928001	-96.3398
61.440001	-80.1375	61.440001	-97.2254
61.952001	-73.4623	61.952001	-88.6465
62.464001	-73.3731	62.464001	-92.3255
62.976001	-78.2916	62.976001	-102.338
63.488001	-80.4983	63.488001	-117.079
64.000001	-76.0226	64.000001	-91.2075
64.512001	-77.1223	64.512001	-90.3203
65.024001	-80.2817	65.024001	-92.5221
65.536001	-76.4239	65.536001	-93.6277
66.048001	-73.3755	66.048001	-97.8393
66.560001	-78.7995	66.560001	-89.1008
67.072001	-94.4806	67.072001	-94.9224
67.584001	-93.4728	67.584001	-106.75
68.096001	-83.3911	68.096001	-86.9876
68.608001	-87.0851	68.608001	-93.863
69.120001	-87.8796	69.120001	-87.6782
69.632001	-99.6202	69.632001	-85.8028
70.144001	-96.8125	70.144001	-88.671
70.656001	-80.9851	70.656001	-105.959
71.168001	-80.2423	71.168001	-103.589
71.680001	-98.836	71.680001	-88.7694
72.192001	-86.2933	72.192001	-85.3778
72.704001	-90.5326	72.704001	-88.6974
73.216001	-85.1463	73.216001	-100.071
73.728001	-80.6384	73.728001	-99.5143
74.240001	-79.3797	74.240001	-92.2598
74.752001	-86.5553	74.752001	-94.6959
75.264001	-96.2638	75.264001	-84.5413
75.776001	-87.4959	75.776001	-88.1878
76.288001	-83.83	76.288001	-98.7246
76.800001	-86.7754	76.800001	-123.545
77.312001	-95.6518	77.312001	-83.0247
77.824001	-90.2919	77.824001	-84.0091
78.336001	-99.6665	78.336001	-84.6988
78.848001	-85.8704	78.848001	-84.3901
79.360001	-90.6739	79.360001	-80.4755
79.872001	-94.8329	79.872001	-82.5473
80.384001	-89.4817	80.384001	-84.1013
80.896001	-88.6492	80.896001	-91.5165
81.408001	-88.9888	81.408001	-84.4652
81.920001	-83.4943	81.920001	-88.3687
82.432001	-79.5865	82.432001	-78.1289
82.944001	-79.1654	82.944001	-86.1616
83.456001	-85.5011	83.456001	-76.1038
83.968001	-89.3149	83.968001	-73.4557
84.480001	-83.5211	84.480001	-74.9487
84.992001	-79.3377	84.992001	-70.2711
85.504001	-78.7584	85.504001	-72.2812
86.016001	-81.7708	86.016001	-73.8109
86.528001	-85.8449	86.528001	-62.2664
87.040001	-88.4697	87.040001	-60.5672
87.552001	-84.0221	87.552001	-62.377
88.064001	-82.0181	88.064001	-61.4346
88.576001	-84.1204	88.576001	-62.2186
89.088001	-84.2616	89.088001	-65.1809
89.600001	-87.1705	89.600001	-71.6676
90.112001	-83.1348	90.112001	-63.1117
90.624001	-80.5026	90.624001	-66.9033
91.136001	-79.5149	91.136001	-72.7206
91.648001	-84.1605	91.648001	-61.9492
92.160001	-85.6958	92.160001	-72.7893
92.672001	-88.3803	92.672001	-72.1198
93.184001	-81.6837	93.184001	-67.1694
93.696001	-83.362	93.696001	-72.4639
94.208001	-85.8367	94.208001	-72.0176
94.720001	-78.9638	94.720001	-74.1681
95.232001	-82.2349	95.232001	-77.5682
95.744001	-89.4514	95.744001	-76.1729
96.256001	-88.4222	96.256001	-79.5455
96.768001	-85.6595	96.768001	-74.6205
97.280001	-87.8672	97.280001	-72.2553
97.792001	-82.3475	97.792001	-86.4423
98.304001	-81.0107	98.304001	-91.8179
98.816001	-85.7773	98.816001	-76.7501
99.328001	-89.1193	99.328001	-85.7435
99.840001	-94.141	99.840001	-91.9485
100.352001	-88.8465	100.352001	-81.9465
100.864001	-82.421	100.864001	-83.5553
101.376001	-81.6047	101.376001	-82.1179
101.888001	-80.625	101.888001	-88.016
102.400001	-81.9969	102.400001	-86.8042
102.912001	-84.555	102.912001	-84.4055
103.424001	-84.3397	103.424001	-82.2266
103.936001	-92	103.936001	-85.8458
104.448001	-88.6395	104.448001	-85.1888
104.960001	-92.5868	104.960001	-81.5849
105.472001	-88.036	105.472001	-93.0836
105.984001	-87.041	105.984001	-81.4574
106.496001	-86.7979	106.496001	-94.0354
107.008001	-96.0557	107.008001	-83.7803
107.520001	-84.763	107.520001	-84.1783
108.032001	-85.2529	108.032001	-90.026
108.544001	-85.0662	108.544001	-88.5221
109.056001	-91.7639	109.056001	-88.6579
109.568001	-88.1953	109.568001	-83.2738
110.080001	-82.3793	110.080001	-81.1169
110.592001	-83.7352	110.592001	-92.1191
111.104001	-94.7121	111.104001	-88.8962
111.616001	-92.9749	111.616001	-83.7069
112.128001	-87.8654	112.128001	-88.3518
112.640001	-97.9871	112.640001	-93.483
113.152001	-88.4041	113.152001	-93.8228
113.664001	-110.232	113.664001	-88.9864
114.176001	-95.3675	114.176001	-87.5198
114.688001	-96.1019	114.688001	-85.1655
115.200001	-96.0707	115.200001	-90.9058
115.712001	-99.6765	115.712001	-86.5784
116.224001	-97.4596	116.224001	-94.9903
116.736001	-89.2119	116.736001	-89.4519
117.248001	-91.9114	117.248001	-90.8601
