frequency - Sound Pressure_29	Amplitude - Sound Pressure_29	frequency - Acceleration	Amplitude - Acceleration
0	-1.86761	0	-0.00254165
1.95E-05	-1.87128	1.95E-05	-0.00272813
3.91E-05	-1.87761	3.91E-05	-0.00303071
5.86E-05	-1.88094	5.86E-05	-0.00311716
7.81E-05	-1.88407	7.81E-05	-0.00315792
9.77E-05	-1.8867	9.77E-05	-0.00340492
0.000117	-1.88531	0.000117	-0.00349137
0.000137	-1.88131	0.000137	-0.00350866
0.000156	-1.87476	0.000156	-0.00377913
0.000176	-1.86654	0.000176	-0.0039051
0.000195	-1.86011	0.000195	-0.00384829
0.000215	-1.84791	0.000215	-0.00384088
0.000234	-1.83803	0.000234	-0.00382729
0.000254	-1.82389	0.000254	-0.00389151
0.000273	-1.81556	0.000273	-0.00399896
0.000293	-1.80198	0.000293	-0.0040076
0.000312	-1.78476	0.000312	-0.00416445
0.000332	-1.77147	0.000332	-0.00427436
0.000352	-1.7593	0.000352	-0.00411134
0.000371	-1.74584	0.000371	-0.00411752
0.000391	-1.73313	0.000391	-0.00399525
0.00041	-1.71529	0.00041	-0.00404959
0.00043	-1.69878	0.00043	-0.00406194
0.000449	-1.68382	0.000449	-0.00414592
0.000469	-1.66349	0.000469	-0.00440651
0.000488	-1.64689	0.000488	-0.00428177
0.000508	-1.62629	0.000508	-0.00401131
0.000527	-1.60128	0.000527	-0.00383594
0.000547	-1.5825	0.000547	-0.00401378
0.000566	-1.55967	0.000566	-0.00412246
0.000586	-1.53536	0.000586	-0.00421879
0.000605	-1.50823	0.000605	-0.00409158
0.000625	-1.48427	0.000625	-0.00411134
0.000645	-1.45734	0.000645	-0.00396932
0.000664	-1.42987	0.000664	-0.00413604
0.000684	-1.40376	0.000684	-0.00393474
0.000703	-1.37347	0.000703	-0.00395079
0.000723	-1.34349	0.000723	-0.00398043
0.000742	-1.31219	0.000742	-0.003831
0.000762	-1.27667	0.000762	-0.0037816
0.000781	-1.2428	0.000781	-0.00381371
0.000801	-1.2074	0.000801	-0.00388781
0.00082	-1.16844	0.00082	-0.00377666
0.00084	-1.13065	0.00084	-0.00371861
0.000859	-1.09048	0.000859	-0.0037606
0.000879	-1.04856	0.000879	-0.00385076
0.000898	-1.00367	0.000898	-0.00389028
0.000918	-0.960032	0.000918	-0.00409776
0.000937	-0.920258	0.000937	-0.00419409
0.000957	-0.876842	0.000957	-0.0041805
0.000977	-0.831393	0.000977	-0.00415951
0.000996	-0.792325	0.000996	-0.00398661
0.001016	-0.748683	0.001016	-0.0038804
0.001035	-0.705437	0.001035	-0.00391498
0.001055	-0.661061	0.001055	-0.00425213
0.001074	-0.615387	0.001074	-0.0041805
0.001094	-0.565789	0.001094	-0.0042262
0.001113	-0.520256	0.001113	-0.00426819
0.001133	-0.473425	0.001133	-0.00409899
0.001152	-0.425549	0.001152	-0.00433241
0.001172	-0.379253	0.001172	-0.00426078
0.001191	-0.32895	0.001191	-0.00439416
0.001211	-0.28209	0.001211	-0.00465475
0.00123	-0.232774	0.00123	-0.00459794
0.00125	-0.185124	0.00125	-0.00446455
0.00127	-0.134425	0.00127	-0.00447073
0.001289	-0.0835289	0.001289	-0.0044238
0.001309	-0.0361328	0.001309	-0.00421261
0.001328	0.0119125	0.001328	-0.00456459
0.001348	0.0619904	0.001348	-0.004572
0.001367	0.109358	0.001367	-0.00453125
0.001387	0.157347	0.001387	-0.00440651
0.001406	0.204517	0.001406	-0.00465722
0.001426	0.250333	0.001426	-0.00459176
0.001445	0.300749	0.001445	-0.00448061
0.001465	0.344363	0.001465	-0.00453866
0.001484	0.391081	0.001484	-0.00456583
0.001504	0.441074	0.001504	-0.00445961
0.001523	0.48864	0.001523	-0.00448184
0.001543	0.532423	0.001543	-0.0044522
0.001562	0.576544	0.001562	-0.0043287
0.001582	0.619508	0.001582	-0.0040076
0.001602	0.662303	0.001602	-0.00391992
0.001621	0.708372	0.001621	-0.00369391
0.001641	0.748994	0.001641	-0.00357782
0.00166	0.793877	0.00166	-0.00364451
0.00168	0.834583	0.00168	-0.00344814
0.001699	0.875769	0.001699	-0.00341727
0.001719	0.917491	0.001719	-0.00318632
0.001738	0.95783	0.001738	-0.00315298
0.001758	0.995713	0.001758	-0.00278371
0.001777	1.03151	0.001777	-0.00309864
0.001797	1.07097	0.001797	-0.00272443
0.001816	1.10931	0.001816	-0.00269602
0.001836	1.14473	0.001836	-0.00256635
0.001855	1.18075	0.001855	-0.00235269
0.001875	1.22143	0.001875	-0.0019402
0.001895	1.25751	0.001895	-0.00177841
0.001914	1.29432	0.001914	-0.00167467
0.001934	1.33217	0.001934	-0.00153759
0.001953	1.36799	0.001953	-0.00151412
0.001973	1.40232	0.001973	-0.0011325
0.001992	1.43806	0.001992	-0.00117573
0.002012	1.47148	0.002012	-0.000860801
0.002031	1.50547	0.002031	-0.000713835
0.002051	1.53395	0.002051	-0.0006879
0.00207	1.56249	0.00207	-0.000469303
0.00209	1.59346	0.00209	-0.000379148
0.002109	1.62143	0.002109	-0.000432253
0.002129	1.65237	0.002129	-6.79E-05
0.002148	1.68029	0.002148	-4.20E-05
0.002168	1.7088	0.002168	0.000100036
