Frequency - Plot 0	Amplitude - Plot 0
1	-2.7145
2	-2.80961
3	-1.26033
4	0.253851
5	0.91307
6	1.42059
7	-2.45065
8	-1.96603
9	-1.86788
10	0.108007
11	-1.82652
12	-2.86506
13	-1.44406
14	-2.87253
15	-1.71721
16	1.47746
17	-2.24925
18	3.09793
19	-2.58802
20	2.79189
21	2.06499
22	2.42832
23	2.42257
24	-2.26922
25	2.77474
26	-1.06408
27	-1.45713
28	1.85373
29	2.4856
30	1.73139
31	2.39941
32	1.80373
33	1.1134
34	1.373
35	-1.60083
36	-1.81472
37	-1.1814
38	-1.9161
39	-2.07244
40	-2.4779
41	-0.153327
42	1.93821
43	2.66818
44	1.87943
45	0.138582
46	-1.97678
47	-1.81361
48	-2.77567
49	-1.47623
50	-1.64534
51	-2.68839
52	3.08279
53	-2.8554
54	1.35115
55	1.86728
56	1.1758
57	-0.696456
58	2.66907
59	-2.16658
60	-2.97194
61	3.11152
62	-2.51378
63	-2.25903
64	2.88966
65	3.10244
66	-1.97709
67	2.56672
68	-2.32821
69	-3.01703
70	2.75324
71	3.10669
72	-2.75956
73	2.02382
74	-2.48797
75	-2.49465
76	-2.58986
77	3.01141
78	-2.25039
79	3.11829
80	-3.01342
81	-2.77641
82	-1.37896
83	-2.81141
84	-3.01786
85	1.8393
86	-2.46057
87	-2.59684
88	-1.79841
89	-2.85205
90	-2.48785
91	-3.07821
92	2.23976
93	2.6632
94	3.01571
95	3.00138
96	-1.96702
97	-3.07058
98	2.29926
99	2.75423
100	-3.12774
101	-3.13467
102	-3.08145
103	-2.67166
104	-2.39657
105	-1.67999
106	-1.84561
107	1.34022
108	1.28957
109	2.6747
110	2.16596
111	3.04159
112	2.43729
113	2.76596
114	2.41581
115	2.93116
116	-2.14714
117	2.24372
118	2.58355
119	2.9157
120	2.1079
121	2.2567
122	2.57168
123	2.47472
124	2.5805
125	2.54858
126	-2.33131
127	3.04406
128	-2.20725
129	2.74976
130	-2.70419
131	2.72024
132	2.75051
133	2.95975
134	2.33166
135	-3.05373
136	-3.03286
137	2.74862
138	2.91407
139	-2.65271
140	-3.07965
141	3.01578
142	-3.00804
143	-3.12236
144	-3.0304
145	3.05585
146	-3.05265
147	-2.89157
148	2.77293
149	-3.05537
150	2.95962
151	2.98743
152	3.12719
153	-2.87381
154	2.88954
155	3.02496
156	-2.70113
157	3.04937
158	2.91867
159	-2.86793
160	-2.17179
161	-2.45455
162	3.03338
163	2.6557
164	2.80293
165	2.31462
166	2.87077
167	2.93116
168	-2.94426
169	-2.97234
170	-2.80763
171	-2.59087
172	-2.76575
173	-2.69336
174	-2.54475
175	-2.56853
176	-2.40477
177	-2.38058
178	-2.31694
179	-2.27493
180	-2.13586
181	-1.92705
182	-1.75324
183	-1.58518
184	-1.23721
185	-0.94641
186	-0.578347
187	-0.360165
188	-0.0770459
189	0.00422759
190	0.166514
191	0.273658
192	0.400297
193	0.470041
194	0.682173
195	0.721191
196	0.808707
197	0.996189
198	1.17397
199	1.15556
200	1.35476
201	1.18239
202	1.30344
203	1.28193
204	1.03996
205	1.0967
206	1.03074
207	1.14071
208	0.87724
209	0.940409
210	1.13346
211	0.721133
212	0.259378
213	0.607241
214	0.406085
215	0.540115
216	0.510773
217	0.341373
218	0.135552
219	-0.0177002
220	-0.0318611
221	-0.107211
222	-0.26585
223	-0.353752
224	-0.326353
225	-0.50299
226	-0.495555
227	-0.508853
228	-0.600617
229	-0.44102
230	-0.488141
231	-0.598214
232	-0.82498
233	-0.700226
234	-1.5665
235	2.07345
236	2.5004
237	2.43334
238	1.73186
239	1.93145
240	1.64774
241	1.91345
242	1.69541
243	1.80909
244	1.28156
245	1.69881
246	1.54546
247	1.37384
248	1.40811
249	1.40538
250	1.38829
251	1.33533
252	1.33162
253	1.3
254	1.26488
255	1.40494
256	1.3713
257	1.29186
258	1.32692
259	1.39762
260	1.46201
261	1.37231
262	1.42177
263	1.40778
264	1.39772
265	1.26649
266	1.23225
267	1.38052
268	1.27539
269	1.23851
270	1.20174
271	1.11845
272	1.31725
273	0.910174
274	1.15829
275	1.05777
276	1.05314
277	1.20522
278	0.749971
279	0.989388
280	1.05783
281	0.788637
282	0.920213
283	1.00815
284	0.88694
285	0.696462
286	0.670167
287	0.931299
288	0.714873
289	0.601532
290	0.466264
291	0.648952
292	0.813445
293	0.690357
294	0.735307
295	0.757147
296	0.744846
297	0.920811
298	0.986022
299	1.05223
300	1.12255
301	1.10767
302	1.27827
303	1.38003
304	1.39179
305	1.5811
306	1.86138
307	1.82621
308	2.02425
309	1.97695
310	1.99366
311	1.90213
312	1.92671
313	1.79138
314	1.74548
315	1.62139
316	1.60203
317	1.65447
318	1.68766
319	1.61917
320	1.60679
321	1.67039
322	1.73479
323	1.66858
324	1.73991
325	1.58678
326	1.58908
327	1.73671
328	1.67248
329	1.71181
330	1.59069
331	1.56802
332	1.49942
333	1.60803
334	1.52887
335	1.55218
336	1.47193
337	1.5481
338	1.52679
339	1.70991
340	1.64068
341	1.73175
342	1.66617
343	1.74773
344	1.70083
345	1.61895
346	1.66708
347	1.546
348	1.44465
349	1.36141
350	1.3704
351	1.41166
352	1.27407
353	1.27227
354	1.26772
355	1.2484
356	1.37884
357	1.19928
358	1.25266
359	1.3629
360	1.24086
361	1.17253
362	1.25994
363	1.20364
364	1.22515
365	1.15235
366	1.35066
367	1.30749
368	1.43424
369	1.3732
370	1.29118
371	1.31171
372	1.32438
373	1.26538
374	1.26679
375	1.3603
376	1.2331
377	1.14721
378	1.1712
379	1.11516
380	1.13755
381	1.15501
382	1.15925
383	1.18829
384	1.16471
385	1.13657
386	1.25023
387	1.18882
388	1.22786
389	1.2511
390	1.28212
391	1.21768
392	1.17703
393	1.21955
394	1.25631
395	1.32864
396	1.27893
397	1.35473
398	1.33834
399	1.31866
400	1.34097
401	1.31859
402	1.36523
403	1.34283
404	1.35863
405	1.36899
406	1.33462
407	1.46199
408	1.41816
409	1.44663
410	1.50207
411	1.51204
412	1.49419
413	1.56296
414	1.5898
415	1.59053
416	1.65789
417	1.69652
418	1.70833
419	1.74923
420	1.87043
421	1.91857
422	2.00453
423	2.10827
424	2.37161
425	2.47994
426	2.71506
427	2.70154
428	2.90115
429	2.89213
430	2.96892
431	2.98509
432	2.95594
433	2.87671
434	2.83103
435	2.70991
436	2.66142
437	2.56929
438	2.46453
439	2.39434
440	2.31324
441	2.18184
442	2.06378
443	1.9745
444	1.78059
445	1.65267
446	1.53025
447	1.34893
448	1.14289
449	1.0383
450	0.833632
451	0.766488
452	0.589557
453	0.469476
454	0.360739
455	0.257215
456	0.133553
457	0.0178088
458	-0.0569074
459	-0.0911447
460	-0.13818
461	-0.169478
462	-0.271551
463	-0.459977
464	-0.465852
465	-0.535176
466	-0.598214
467	-0.698411
468	-0.661599
469	-0.583107
470	-0.768206
471	-0.770514
472	-0.857611
473	-0.854846
474	-0.993664
475	-0.880987
476	-1.01375
477	-1.02938
478	-1.04894
479	-1.23919
480	-1.21483
481	-1.23498
482	-1.29062
483	-1.45757
484	-1.4137
485	-1.56962
486	-1.43773
487	-1.48812
488	-1.69741
489	-1.66412
490	-1.65249
491	-1.78479
492	-1.72823
493	-1.85247
494	-1.79717
495	-1.82638
496	-1.98922
497	-1.82764
498	-1.9215
499	-1.89345
500	-1.9073
