t,Theta,Theta,Theta
0.000,30.23738303,30.01674535,32.9870871
0.033,29.47378126,29.31645103,32.9870871
0.067,27.98485373,27.90237962,32.9870871
0.100,25.68067738,25.73664545,32.97950653
0.133,22.81811203,22.84114142,32.96782516
0.167,19.45396242,19.57459379,32.97129942
0.200,15.33588932,15.4678298,32.49045281
0.233,11.13179669,11.1976234,31.27268376
0.267,6.438953225,6.61995814,29.34633853
0.300,1.549699836,1.566661567,26.70257079
0.333,-3.18060353,-3.557916687,23.36578311
0.367,-7.8335712,-8.205122818,19.56989706
0.400,-12.61369409,-12.7048241,15.27975675
0.433,-16.75273044,-17.08948398,10.58474966
0.467,-20.33041452,-20.93514933,5.857649494
0.500,-23.53255521,-24.20565337,0.739971142
0.533,-25.95827283,-26.80643847,-4.465490928
0.567,-27.76570388,-28.65132762,-9.353306809
0.600,-28.87391234,-29.85990533,-13.97186545
0.633,-29.17017171,-30.34907456,-18.09111576
0.667,-28.7433574,-30.00931091,-21.78304546
0.700,-27.57332274,-28.83509143,-24.92215876
0.733,-25.70107803,-26.99304027,-27.58909083
0.767,-23.09928479,-24.38535959,-29.17189035
0.800,-19.94960722,-21.32169911,-30.04941181
0.833,-16.34924628,-17.71818431,-30.09989723
0.867,-12.21897347,-13.58317239,-29.35316603
0.900,-7.886014462,-9.254455167,-27.79648829
0.933,-3.281049585,-4.299988967,-25.43374015
0.967,1.395985086,0.424623695,-22.51835147
1.000,5.988468841,5.108507673,-18.76366965
1.033,10.36736019,9.514483542,-14.66344494
1.067,14.72582838,13.75641698,-10.12576151
1.100,18.4217257,17.7558998,-5.332345788
1.133,21.79107009,21.17562146,-0.386888301
1.167,24.59247561,24.0465902,4.453455865
1.200,26.69565025,27.01584464,9.232312656
1.233,28.14274036,28.57361782,13.80213862
1.267,28.85889028,20.38451659,17.92596147
1.300,28.84548157,20.42992475,21.58611035
1.333,28.08065618,19.70878448,24.83652784
1.367,26.63957415,18.25434807,27.64247125
1.400,24.4278624,16.1052381,29.52034771
1.433,21.54846103,22.25079943,30.71752825
1.467,18.1136839,18.9025682,31.14118622
1.500,14.10376542,14.55619806,30.76977487
1.533,9.913897086,10.1645458,29.63879713
1.567,5.519310364,5.866466689,27.75018432
1.600,1.155805781,1.285756068,25.15778787
1.633,-3.346949048,-3.290848754,21.95539553
1.667,-7.810573563,-7.803921232,18.16922865
1.700,-12.12227127,-12.17456783,13.90439772
1.733,-16.06446586,-16.26302466,9.459142592
1.767,-19.62466159,-19.9060346,4.788560773
1.800,-22.68980605,-23.00051536,-0.314718161
1.833,-25.11325132,-25.65167193,-4.939956238
1.867,-26.79040215,-27.4094285,-9.602737375
1.900,-27.77939961,-28.6115763,-13.91746104
1.933,-28.06096242,-28.98253397,-17.80781131
1.967,-27.60997629,-28.57581285,-21.29086394
2.000,-26.39605603,-27.47990111,-24.1339335
2.033,-24.467128,-25.63746836,-26.38731168
2.067,-21.94695527,-23.15808579,-27.86700385
2.100,-18.74039357,-20.11611263,-28.61045967
2.133,-15.23425665,-16.35640041,-28.58440068
2.167,-11.0656643,-12.39048418,-27.82863038
2.200,-6.666930566,-7.964073928,-26.31096956
2.233,-2.231083869,-3.549294698,-24.04901228
2.267,2.331688609,1.047827561,-21.16083277
2.300,6.831396184,5.550244055,-17.71222444
2.333,11.00460688,9.791138806,-13.7223292
2.367,14.93590843,13.58406091,-9.405423109
2.400,18.57583258,17.37494039,-4.774233604
2.433,21.79624538,20.7415103,-0.020391972
2.467,24.40373755,23.56115895,4.869935404
2.500,26.31688476,25.66830999,9.294324441
2.533,27.5447441,27.97367991,13.55565332
2.567,28.12415942,28.72436097,17.77425072
2.600,27.95524069,28.72990477,21.46647268
2.633,27.11343867,27.99761635,24.50570971
2.667,25.51844175,27.97367991,27.24518041
2.700,23.28460641,25.80065153,29.04106284
2.733,20.44999039,23.0880948,30.43468304
2.767,17.02787412,19.76448101,30.76215364
2.800,13.16529361,13.72296179,30.33014225
2.833,9.059927595,9.533707303,29.16761338
2.867,4.634107987,5.753968812,27.28446676
2.900,0.302496519,1.142965626,24.09585682
2.933,-4.123003841,-3.339169289,20.94910409
2.967,-8.435614443,-7.357742209,17.23361161
3.000,-12.45243818,-11.72162431,13.29306041
3.033,-16.24277283,-15.82551425,9.124214596
3.067,-19.52510587,-19.2847346,4.006120788
3.100,-22.47271164,-22.38931928,-0.490934996
3.133,-24.61289965,-24.84782473,-5.020519117
3.167,-26.15557759,-26.58392123,-9.482771873
3.200,-27.03137257,-28.41975489,-13.62195607
3.233,-27.17670421,-28.74059044,-17.5227297
3.267,-26.58397316,-28.326475,-20.77453449
3.300,-25.30926418,-27.18144922,-23.61075654
3.333,-23.39676811,-25.34416808,-25.74298272
3.367,-20.87956024,-22.78993624,-26.88728915
3.400,-17.85577327,-19.6784727,-27.55063344
3.433,-14.34711067,-16.01908319,-27.48746638
3.467,-10.41401257,-12.03336059,-26.67242932
3.500,-6.228754457,-7.481856912,-25.13121869
3.533,-1.879629061,-3.013304592,-22.92609978
3.567,2.516860217,1.513280697,-20.05062393
3.600,6.882108387,6.054064526,-16.7669585
3.633,10.98484884,10.28303819,-12.88661986
3.667,14.90068589,14.30268588,-8.592985475
3.700,18.43051519,17.95430574,-4.109171015
3.733,21.4290937,21.04962174,0.475758753
3.767,23.94685148,23.81196507,5.339354709
3.800,25.75715156,25.74025889,9.846223278
3.833,27.34305577,27.05165433,14.17526844
3.867,27.85314896,27.64362327,18.06221202
3.900,27.64186591,27.50659274,21.61158573
3.933,26.73318308,26.65856978,23.95538719
3.967,25.15070486,25.11956493,26.25882665
4.000,22.92963258,22.94986167,27.92050474
4.033,20.14153971,20.21522619,28.83412164
4.067,16.83571347,16.73124187,29.05188402
4.100,13.17261137,12.95914083,28.52445519
4.133,9.049351134,8.978345891,27.26626491
4.167,4.803920076,4.661390492,25.33751707
4.200,0.465009186,-0.427547516,22.77930676
4.233,-4.447229792,-4.71496958,19.59250582
4.267,-8.643633262,-8.964649025,16.3431839
4.300,-12.65648637,-12.92163018,12.30776821
4.333,-16.22043815,-16.61431573,7.760357314
4.367,-19.46256561,-19.8772795,3.056051139
4.400,-22.19660032,-22.71622397,-0.799979878
4.433,-24.32924519,-24.90294494,-5.204880574
4.467,-25.75759283,-26.43919574,-9.436833217
4.500,-26.51498935,-27.28908018,-14.16794277
4.533,-26.62136458,-27.40896447,-17.7360916
4.567,-26.00794819,-26.86126476,-20.88389799
4.600,-24.69301997,-25.58761757,-23.41318044
4.633,-22.68557356,-23.68752634,-25.25965992
4.667,-20.13498919,-21.21472121,-26.49569349
4.700,-17.03063941,-18.21183554,-27.0065069
4.733,-13.40606595,-14.74140775,-26.77330676
4.767,-9.557259366,-10.86004082,-25.82017226
4.800,-5.426114914,-6.67897611,-24.17621398
4.833,-1.165241367,-2.371357738,-21.90115008
4.867,3.127599697,2.739740531,-19.11865822
4.900,7.276957297,7.002176497,-15.86585082
4.933,11.17113949,11.21453315,-12.15313671
4.967,14.88181358,15.11922987,-8.090380576
5.000,18.1298341,18.63970291,-3.796712165
5.033,20.97632012,21.65522046,0.626788568
5.067,23.21509645,23.07254548,4.988716598
5.100,24.79171582,24.87908675,9.201222643
5.133,25.7979099,26.07987433,13.19750229
5.167,26.07242438,26.56505118,16.94154239
5.200,25.69227765,26.38470036,20.22555323
5.233,24.65153892,25.47650015,23.57376799
5.267,22.95529391,23.9017614,25.76670873
5.300,20.67344107,21.71622096,27.34428104
5.333,17.78714322,18.91863156,28.24179777
5.367,14.39144095,15.53463212,28.38634276
5.400,10.67808572,11.70398252,27.82720056
5.433,6.658349497,8.069047655,26.58390054
5.467,2.600407995,4.004870815,24.63580429
5.500,-1.420230937,-0.429745352,22.10171277
5.533,-5.495106068,-4.640449189,18.93795999
5.567,-9.483468632,-8.658834254,15.37625125
5.600,-13.14991738,-12.5990287,11.70474654
5.633,-16.51429873,-16.17526547,7.62773118
5.667,-19.47963322,-19.4260034,3.445039928
5.700,-21.88723606,-21.96056402,-1.453292924
5.733,-23.72641844,-24.1022345,-5.755634546
5.767,-24.9678244,-25.73690119,-9.881990719
5.800,-25.53743439,-26.49659747,-13.72511212
5.833,-25.4241765,-26.57127357,-17.19435383
5.867,-24.59487333,-25.96156708,-20.18775938
5.900,-23.13041857,-24.67310443,-22.56530795
5.933,-21.14226744,-22.70873871,-24.35001581
5.967,-18.55906141,-20.1044831,-25.48592312
6.000,-15.57586259,-17.08633591,-25.90468354
6.033,-12.12175999,-13.79492693,-25.63793372
6.067,-8.35211266,-9.96057567,-24.64722628
6.100,-4.337641335,-5.907768511,-23.01406068
6.133,-0.227867023,-1.648545412,-20.79193153
6.167,3.853617841,2.877167777,-17.97278755
6.200,7.860433853,6.769016452,-14.66920621
6.233,11.61148642,10.63210849,-11.03066267
6.267,15.03580227,14.58261206,-7.028068971
6.300,18.3025243,17.80700232,-2.761322159
6.333,20.9724079,20.48240871,1.567108455
6.367,23.02837835,22.7069193,5.814663098
6.400,24.48894149,24.3919654,9.947454961
6.433,25.36273905,25.32361855,13.80819291
6.467,25.51901037,25.61135249,17.4491108
6.500,25.07661774,25.23152754,20.68138985
6.533,23.97239048,24.21567676,23.39813644
6.567,22.2361266,22.52558626,25.50809982
6.600,19.89493174,20.27574499,26.94856817
6.633,17.07196614,17.40885232,27.68983203
6.667,13.76806351,14.48563962,27.7461106
6.700,10.12005186,10.78265602,27.09904243
6.733,6.224185719,6.802345194,25.80467141
6.767,2.210343459,2.721130319,23.82259025
6.800,-1.861107781,-1.574711352,21.29713185
6.833,-5.893214548,-5.636638474,18.185606
6.867,-9.766067909,-9.651089776,14.58704877
6.900,-13.41634622,-13.34451451,10.79900032
6.933,-16.571607,-16.70461882,6.758618146
6.967,-19.3700719,-19.68965926,2.644159829
7.000,-21.72856378,-22.06965595,-1.766821226
7.033,-23.42655173,-23.86560457,-5.927511837
7.067,-24.52500198,-25.02113202,-9.95432399
7.100,-24.95776298,-25.54235703,-13.62753429
7.133,-24.70776482,-25.41627596,-16.96386304
7.167,-23.82774571,-24.58578724,-19.76862039
7.200,-22.3125021,-23.06203165,-22.08944398
7.233,-20.20141373,-21.00216758,-23.794937
7.267,-17.55150644,-18.43050143,-24.79780816
7.300,-14.44629084,-15.41186987,-25.13879014
7.333,-10.9015726,-11.93527781,-24.79780816
7.367,-7.078912541,-8.232832803,-23.76189439
7.400,-3.12403275,-4.194651258,-22.06083063
7.433,0.888851745,-0.107006511,-19.74683661
7.467,4.778252695,3.900109128,-16.93161991
7.500,8.91560362,7.835730739,-13.6423961
7.533,12.52638347,11.57889353,-9.901604953
7.567,15.92428259,15.13617084,-5.897101721
7.600,18.89860397,18.18482852,-1.766072078
7.633,21.63514698,20.76087862,2.477328519
7.667,23.43724506,22.77407524,6.610201645
7.700,24.63944749,24.32225373,10.54191635
7.733,25.22193928,25.11840064,14.2474398
7.767,25.15355679,25.24432694,17.65012422
7.800,24.43470793,24.74386932,20.68060463
7.833,23.0903989,23.58450147,23.09757873
7.867,21.17890752,21.77021538,24.94007482
7.900,18.68229262,19.43148925,26.14046076
7.933,15.72840384,16.60133034,26.7148111
7.967,12.45522909,13.3073747,26.60871222
8.000,8.778000583,9.792181336,25.82301629
8.033,4.876548807,5.860023132,24.40585381
8.067,0.968212114,1.295241822,22.36646898
8.100,-3.010424828,-2.764633594,19.74211874
8.133,-6.905600953,-6.755818589,16.6497302
8.167,-10.61326011,-10.57020305,13.28445015
8.200,-13.96249893,-13.89532236,9.529119267
8.233,-17.01475683,-17.07693633,5.575261112
8.267,-19.62352436,-19.81893568,1.616507062
8.300,-21.60267544,-22.10092104,-2.237284441
