t,Theta,Theta,Theta
0.033,10.15570758,10.06648134,9.653171882
0.067,9.882074126,9.876860227,9.40359195
0.100,9.346632909,9.37007712,8.920267524
0.133,8.557816981,8.634146153,8.181012831
0.167,7.550125809,7.676759265,7.205912741
0.200,6.376934413,6.490303764,6.042118521
0.233,5.00903924,5.146120962,4.698949281
0.267,3.497293435,3.646916782,3.226955471
0.300,1.91336687,2.049518879,1.634568583
0.333,0.323340628,0.3852904,0.006988285
0.367,-1.299879987,-1.26111875,-1.609261662
0.400,-2.875761836,-2.889072213,-3.191224546
0.433,-4.34601205,-4.428237148,-4.694745025
0.467,-5.689576625,-5.853147471,-6.079861902
0.500,-6.863458979,-7.11978887,-7.304901748
0.533,-7.864471738,-8.203606833,-8.358444025
0.567,-8.648426352,-9.028701863,-9.185164958
0.600,-9.177272082,-9.660776328,-9.772670157
0.633,-9.442892148,-10.03822328,-10.13572657
0.667,-9.468334333,-10.13216955,-10.22717085
0.700,-9.213052848,-9.971161766,-10.06233818
0.733,-8.739964173,-9.563810168,-9.631588872
0.767,-8.01303566,-8.888804494,-8.947407955
0.800,-7.072052151,-7.996830768,-8.030974807
0.833,-5.913222225,-6.894823982,-6.905956312
0.867,-4.603022397,-5.591948275,-5.605986226
0.900,-3.155383573,-4.161549517,-4.164726954
0.933,-1.618553884,-2.639744014,-2.640498708
0.967,-0.036327062,-1.030343133,-1.036400562
1.000,1.557511766,0.577705854,0.562425457
1.033,3.116406783,2.195053181,2.170700963
1.067,4.611910765,3.71752457,3.687233582
1.100,5.976752666,5.144021667,5.096678465
1.133,7.179561738,6.421051859,6.369471629
1.167,8.223983671,7.551517122,7.446289269
1.200,9.046840602,8.434990961,8.339263704
1.233,9.644180075,9.099428166,8.97992544
1.267,9.951425414,9.516356515,9.359825395
1.300,10.00935893,9.652615392,9.47663709
1.333,9.84479529,9.532534759,9.338548978
1.367,9.373394817,9.127997491,8.922463312
1.400,8.671529272,8.516176225,8.295233161
1.433,7.748490512,7.656843867,7.417227138
1.467,6.651406199,6.572822747,6.316135171
1.500,5.367005269,5.305209522,5.060000152
1.533,3.956539773,3.921591126,3.655088638
1.567,2.443400223,2.414504218,2.136344615
1.600,0.85951285,0.829016008,0.546923217
1.633,-0.716195125,-0.791351145,-1.050820713
1.667,-2.288078254,-2.368975392,-2.639087398
1.700,-3.772870217,-3.929041236,-4.150335219
1.733,-5.140380631,-5.355562808,-5.54970577
1.767,-6.338015764,-6.645820121,-6.833287412
1.800,-7.366294125,-7.768202287,-7.927877654
1.833,-8.223852595,-8.695421178,-8.825785044
1.867,-8.838261763,-9.378738792,-9.496004434
1.900,-9.21444123,-9.850167479,-9.935572965
1.933,-9.328251276,-10.06140314,-10.11145082
1.967,-9.200224551,-9.977405402,-10.01155461
2.000,-8.812955477,-9.652887546,-9.672098813
2.033,-8.168059339,-9.072545324,-9.07366184
2.067,-7.301721763,-8.2671852,-8.264540594
2.100,-6.232050623,-7.240920989,-7.220690427
2.133,-4.999070191,-6.023326964,-6.006509499
2.167,-3.617349254,-4.643854713,-4.635727955
2.200,-2.104255215,-3.149777833,-3.142633108
2.233,-0.562828671,-1.585059609,-1.606723909
2.267,1.020433681,0.032852759,-0.028633851
2.300,2.575800832,1.63076107,1.548574891
2.333,4.054017236,3.174532162,3.087465134
2.367,5.424297479,4.640267413,4.532773778
2.400,6.662786796,5.952393226,5.816816926
2.433,7.760111726,7.111424657,6.956325057
2.467,8.660502625,8.055595531,7.877787192
2.500,9.2948195,8.771160047,8.607900618
2.533,9.701302176,9.289021258,9.098604521
2.567,9.833656119,9.512725039,9.269456908
2.600,9.72026718,9.476658466,9.216694046
2.633,9.336364158,9.194473381,8.914109306
2.667,8.755660935,8.642134564,8.353357893
2.700,7.910098571,7.85138985,7.556059419
2.733,6.857001707,6.829913913,6.553555949
2.767,5.658851869,5.6363646,5.356350418
2.800,4.318593165,4.302143531,3.997016008
2.833,2.851171131,2.842716391,2.54480438
2.867,1.320861422,1.299251736,1.009466308
2.900,-0.229013092,-0.290420073,-0.560276331
2.933,-1.740861621,-1.840212208,-2.119117818
2.967,-3.205272121,-3.350179204,-3.622816832
3.000,-4.57784851,-4.804769961,-5.041956837
3.033,-5.823971538,-6.116602778,-6.342363416
3.067,-6.917066097,-7.300501645,-7.466968429
3.100,-7.831689534,-8.274248628,-8.416161701
3.133,-8.507114821,-9.036706755,-9.161273723
3.167,-8.945278913,-9.562575975,-9.652059454
3.200,-9.154421296,-9.845284671,-9.911032721
3.233,-9.100274963,-9.86779234,-9.931777079
3.267,-8.798303521,-9.618836128,-9.687470848
3.300,-8.257823806,-9.142405016,-9.188347327
3.333,-7.481420654,-8.424551491,-8.45930385
3.367,-6.51421994,-7.462455112,-7.493149545
3.400,-5.366751303,-6.31957523,-6.372260016
3.433,-4.075612279,-5.006761197,-5.075571866
3.467,-2.616331502,-3.573708317,-3.623752623
3.500,-1.109975623,-2.072363049,-2.119902357
3.533,0.420236374,-0.505851602,-0.539387116
3.567,1.977400115,1.061956761,1.026860718
3.600,3.472856405,2.597333607,2.559456883
3.633,4.842175778,4.057403448,4.011177352
3.667,6.119789874,5.421218032,5.344373903
3.700,7.229140992,6.605790885,6.527181168
3.733,8.152531666,7.622052725,7.513828701
3.767,8.841043942,8.427175074,8.299289554
3.800,9.342304638,9.011145444,8.847678421
3.833,9.556086455,9.306936679,9.12720217
3.867,9.547333805,9.374869703,9.126951905
3.900,9.279682848,9.154191318,8.909939231
3.933,8.758136347,8.710966459,8.45495247
3.967,8.030630615,8.029560842,7.755916702
4.000,7.091500453,7.123967753,6.8455661
4.033,5.961331574,6.011955281,5.69519639
4.067,4.692087624,4.729001524,4.402483372
4.100,3.304622621,3.321124141,3.009238258
4.133,1.853330374,1.841569364,1.497514181
4.167,0.356755983,0.316757363,-0.061629523
4.200,-1.162098257,-1.239243446,-1.614271972
